TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,87.5239181518555,73.4984970092773,54.0031776428223,1,0,2,3,True,0.003,-3.4
2,1,84.4411773681641,69.2268142700195,54.2551460266113,1,0,2,3,True,0.014,-3.238
3,1,80.8054351806641,66.0000610351562,55.5025939941406,1,0,2,3,True,-0.009,-1.024
4,1,79.5287170410156,65.1346969604492,54.7226257324219,1,0,2,3,True,,
5,3,66.6294097900391,60.5178070068359,29.9619312286377,1,1,8,9,True,-0.012,0.097
5,2,88.8392486572266,74.1249008178711,25.6271591186523,1,1,4,5,True,0.026,-0.995
6,3,65.6700134277344,61.7702751159668,28.8453102111816,1,1,8,9,True,-0.015,-0.822
6,2,87.1415786743164,73.8252487182617,27.9956150054932,1,1,4,5,True,0.005,-0.702
7,3,64.1260299682617,61.6053085327148,27.485315322876,1,1,8,9,True,-0.007,0.305
7,2,85.7882080078125,73.7888565063477,28.4053554534912,1,1,4,5,True,0.042,-0.748
8,3,63.7124366760254,62.6871871948242,26.8962230682373,1,1,8,9,True,0.024,-0.607
8,2,84.380859375,73.6993942260742,32.2239532470703,1,1,4,5,True,0.015,-0.856
9,3,63.4538536071777,61.6496963500977,29.0906257629395,1,1,8,9,True,0.031,-0.47
9,2,84.0081481933594,72.1686782836914,33.5909385681152,1,1,4,5,True,0.004,-1.344
10,3,64.3375091552734,59.696216583252,31.880931854248,1,1,8,9,True,-0.022,0.192
10,2,84.0318298339844,69.0071258544922,33.9253158569336,1,1,4,5,True,0.027,-0.041
11,3,63.9177322387695,60.5642166137695,29.9239749908447,1,1,8,9,True,0.039,-0.338
11,2,83.4784622192383,69.5791320800781,36.3852767944336,1,1,4,5,True,0.009,-1.369
12,3,64.439323425293,59.26220703125,33.3998260498047,1,1,8,9,True,-0.032,-2.0
12,2,82.7716369628906,67.204948425293,37.1993942260742,1,1,4,5,True,0.032,-1.92
13,3,62.5208129882812,56.9141616821289,30.5167350769043,1,1,8,9,True,-0.033,-1.15
13,2,81.0354843139648,64.7688140869141,40.1001243591309,1,1,4,5,True,0.014,0.27
14,3,61.2334480285645,55.7661666870117,27.5129776000977,1,1,8,9,True,0.023,-0.666
14,2,81.0840072631836,65.3561630249023,41.3201065063477,1,1,4,5,True,0.035,-0.629
15,3,61.0168991088867,54.5140113830566,29.5922317504883,1,1,8,9,True,0.008,0.229
15,2,80.9560546875,64.003547668457,44.4414558410645,1,1,4,5,True,0.022,-0.606
16,3,61.1542091369629,54.8758850097656,30.2879314422607,1,1,8,9,True,0.033,-1.072
16,2,80.2817306518555,63.391731262207,46.4055480957031,1,1,4,5,True,0.044,-0.767
17,3,59.4349174499512,54.3780288696289,33.2535438537598,1,1,8,9,True,0.02,0.211
