CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,54.0031776428223,54.62088584899902,-1.916,,4.0,0.002
2.0,25.6271591186523,39.24113362630208,-0.673,,15.0,0.036
3.0,29.9619312286377,33.46273916417902,-0.558,,22.0,0.015
4.0,30.3618335723877,31.792601585388198,-0.248,,2.0,0.03
5.0,31.7087860107422,38.743649005889885,0.189,,8.0,0.028
6.0,16.6369972229004,21.26751327514648,-0.879,,10.0,0.006
7.0,14.9149484634399,14.9149484634399,0.0,,1.0,
8.0,21.5867729187012,34.355359554290764,-0.128,,12.0,0.047
9.0,28.7440586090088,31.269518534342463,0.338,,6.0,0.02
10.0,20.0177917480469,20.0177917480469,0.0,,1.0,
11.0,19.9741344451904,21.860967000325534,-2.016,,3.0,0.028
12.0,33.1572113037109,32.67063865661622,-2.176,,5.0,0.01
13.0,21.2112426757812,22.51973333358763,-0.302,,10.0,0.018
14.0,22.2683963775635,27.10570669174195,0.478,,8.0,0.037
15.0,21.4721794128418,27.668372869491577,-0.131,,8.0,0.042
16.0,29.3357486724854,28.369376373291022,-1.702,,5.0,-0.043
17.0,14.217381477356,14.217381477356,0.0,,1.0,
18.0,28.1382160186768,28.4848222732544,0.21,,2.0,0.008
19.0,28.2587013244629,27.887346267700202,-1.417,,2.0,-0.009
