TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-2.6231022672318023,1.0,98.04784688995215,26.61722488038277,-0.05,-0.54,False,33.423567843859146,8.181318688284831,0
2,1,-2.6316818537478928,1.0,96.1105527638191,23.301507537688444,,,False,33.175875804274355,7.787546381515936,0
3,2,-2.686786753765298,2.0,85.45454545454545,28.595959595959595,4.289,1.626,False,15.736402793203654,8.08186553372537,0
3,3,-2.662996314219131,3.0,98.4271844660194,36.19417475728155,,,False,18.36231540960631,7.211196534166155,0
4,2,-2.6324107436712003,2.0,90.39737991266377,38.47161572052402,0.285,0.114,False,37.1829011868447,8.0950571657979,0
5,2,-2.6244330642192994,2.0,87.59677419354838,45.729838709677416,0.7,0.08,False,38.608441249979855,8.393909884186064,0
6,2,-2.606775767078851,2.0,86.72473867595819,48.19163763066202,0.166,-0.009,False,42.109921544876215,8.941539169283343,0
7,2,-2.6235967195348717,2.0,85.3632958801498,50.47191011235955,0.26,-0.441,False,42.94090081136847,8.140594403152868,0
8,2,-2.6061497357581236,2.0,85.17586206896551,46.33448275862069,0.876,0.375,False,44.240844331044606,8.685741435897171,0
9,2,-2.5871685786656866,2.0,83.937106918239,52.191823899371066,0.305,-0.063,False,48.62009321699604,8.725761108160478,0
10,2,-2.585634912506558,2.0,84.17283950617283,51.20679012345679,1.005,-0.027,False,50.14356100346599,8.667628635186087,0
11,2,-2.5797467197624497,2.0,83.81267217630854,51.53719008264463,0.457,0.183,False,55.16874789577631,8.81282468596386,0
12,2,-2.576573284786171,2.0,83.47938144329896,53.7860824742268,1.146,-0.243,False,57.45288955609113,8.987603896261678,0
13,2,-2.571730171930727,2.0,82.96127562642369,52.34168564920273,0.625,0.38,False,63.18218162510523,9.24072600760194,0
14,2,-2.563712030611408,2.0,83.08893709327549,55.63123644251627,0.925,0.048,False,66.30776517480165,9.19525817730775,0
15,2,-2.559526446998935,2.0,82.36486486486487,57.11711711711712,0.733,0.205,False,70.93285976635234,8.593927880946955,0
16,2,-2.547036316409286,2.0,81.95436507936508,59.46428571428572,2.03,-0.009,False,74.59660334508608,9.235423134698475,0
17,2,-2.5339525162564347,2.0,82.89893617021276,58.06382978723404,0.558,-0.22,False,84.74804054478918,9.3979335724332,0
18,2,-2.526896145179855,2.0,81.53691275167785,58.08724832214765,2.101,0.768,False,87.53972630823927,9.594900557924174,0
