CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
1.0,68.8840637207031,69.80622427804126,0.069,7.0,0.002
2.0,31.4717693328857,44.48776667912801,-0.083,60.0,0.01
3.0,54.7533569335938,67.12791849772137,0.134,15.0,0.025
4.0,43.7814674377441,59.946819383270885,0.394,49.0,0.009
5.0,42.1263122558594,45.73487281799318,-0.01,16.0,0.01
6.0,37.9028663635254,51.652826676001915,0.003,52.0,0.009
7.0,29.2432823181152,40.19794270197551,0.158,60.0,0.008
8.0,50.980037689209,66.7203509648641,0.035,60.0,0.005
9.0,49.8141708374023,48.71810652080335,-0.094,57.0,-0.0
10.0,30.4409561157227,40.76499786376953,-0.022,60.0,0.004
11.0,33.6024703979492,45.3643616994222,-0.061,60.0,0.004
12.0,35.0564117431641,53.173017501831055,0.028,42.0,0.018
13.0,34.4529151916504,52.59508732386998,0.222,35.0,0.023
14.0,34.2367515563965,49.061700778537336,0.081,45.0,0.01
15.0,30.0086650848389,38.75096922980414,0.079,45.0,0.012
16.0,22.8015213012695,22.8015213012695,0.0,1.0,0.0
17.0,28.4931812286377,28.4931812286377,0.0,1.0,0.0
18.0,34.205867767334,39.88823954264322,0.582,18.0,0.019
19.0,34.2411994934082,39.889064364963104,-0.007,18.0,0.017
20.0,32.1030426025391,36.30501591075551,-0.473,11.0,0.021
21.0,37.8602638244629,40.847279635342694,-0.085,11.0,0.016
22.0,46.4379234313965,47.395311991373696,0.129,3.0,0.013
23.0,54.4584617614746,59.64430548927999,0.427,11.0,0.019
24.0,5.52654600143433,5.52654600143433,0.0,1.0,0.0
25.0,34.7111206054688,44.4910764694214,-0.383,8.0,0.043
26.0,37.7486228942871,39.623329162597656,-0.212,8.0,0.012
27.0,23.1707878112793,23.1707878112793,0.0,1.0,0.0
28.0,49.0014801025391,50.98602930704754,-0.242,3.0,0.031
29.0,25.9333667755127,25.9333667755127,0.0,1.0,0.0
