TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-1.2768142274063887,1,78.64912280701755,47.32163742690059,0.182,0.161,False,21.28362567785497,10.2593165469819,0
1,2,-1.0592396017915948,2,69.54166666666667,65.82142857142857,0.076,0.148,False,21.102237964456627,10.154307065694631,0
2,1,-1.2037453517160468,1,79.14606741573034,48.056179775280896,-0.016,0.331,False,22.195387869737708,10.390459645435518,0
2,2,-1.080414098022452,2,70.21965317919076,66.17919075144509,0.131,0.262,False,21.483656362540074,10.28885034405086,0
3,1,-1.2305365614344987,1,81.48087431693989,47.36612021857923,0.024,-0.303,False,22.11780633774044,10.64872082955674,0
3,2,-1.0577431061758884,2,72.20441988950276,65.96685082872928,0.52,-0.377,False,22.139378115626133,10.471291360579858,0
4,1,-1.2866614819838063,1,81.09944751381215,44.966850828729285,0.16,0.115,False,22.23542877472169,10.405902967648917,0
4,2,-0.9667982347314114,2,70.27722772277228,65.27722772277228,0.418,0.375,False,24.739263891083763,10.417262422952872,0
5,1,-1.0328608999697473,1,81.07027027027027,46.1945945945946,-0.024,0.424,False,23.034117309292853,10.56402453432028,0
5,2,-0.6610806962342066,2,73.75233644859813,64.2196261682243,0.481,0.429,False,26.830268423448835,10.225055227692405,0
6,1,-1.0391563088010116,1,82.96756756756757,47.15135135135135,0.227,0.154,False,22.91238117271523,10.437017551984225,0
6,2,-0.6143997999403632,2,76.15151515151516,64.71861471861472,0.375,0.207,False,29.23504250166461,10.15500000434507,0
7,1,-1.0050175797239735,1,83.82051282051282,47.21025641025641,-0.157,-0.003,False,24.04784253070367,10.73725996417472,0
7,2,-0.5809609958351667,2,78.07916666666667,64.02083333333333,0.471,0.084,False,31.10892427185523,9.885727511202926,0
8,1,-1.0483594203126794,1,83.68817204301075,47.413978494623656,0.168,-0.484,False,23.263887501048693,10.28409051119817,0
8,2,-0.5828541912275089,2,78.56153846153846,64.0923076923077,1.85,-0.374,False,33.4663098023312,10.015063296343955,0
9,1,-0.9799941434620046,1,81.0972972972973,47.07027027027027,-0.178,-0.087,False,24.102830199530548,10.36059942727224,0
9,2,-0.5885286797645021,2,77.42948717948718,62.5224358974359,0.62,-0.076,False,42.716514685453085,9.464181985192306,0
10,1,-1.00883659528035,1,81.02808988764045,46.32022471910113,0.231,0.135,False,23.210955516283533,9.952833344240917,0
10,2,-0.600445270927932,2,77.80838323353294,61.43712574850299,0.822,0.186,False,45.816329585584846,9.48102671152065,0
11,1,-0.9482290179746793,1,81.53191489361703,46.797872340425535,-0.074,0.504,False,24.3644750825257,10.26459653380858,0
11,2,-0.6212693936745388,2,79.73463687150839,60.46368715083799,0.813,0.465,False,49.92724921607042,9.468512690266838,0
12,1,-0.9843052086655645,1,83.77348066298343,47.95027624309392,0.026,0.138,False,23.99354599104653,9.975746274108207,0
12,2,-0.6455264138676345,2,82.35400516795866,60.84754521963824,0.855,0.088,False,53.99061326718682,9.735042478294057,0
13,1,-0.9789832982966961,1,84.87078651685393,47.41573033707865,0.104,0.096,False,24.122351165324066,9.498726034274846,0
13,2,-0.6712613569295217,2,84.36124401913875,58.801435406698566,,,True,58.26702604361327,10.070347923507525,0
14,3,-0.9502786164348145,2,96.96539792387544,47.273356401384085,0.836,-0.037,False,41.413074432895904,9.110166011524498,2
14,1,-0.9902907338420238,1,84.8688524590164,48.39344262295082,-0.133,-0.096,False,24.640661487748343,9.735774576125962,0
14,4,-0.4177940429897234,2,70.21374045801527,67.9618320610687,0.834,-0.362,False,36.55184912055111,9.318886481519607,2
15,3,-0.9928452454569623,2,97.64193548387097,45.42580645161291,0.85,0.175,False,45.59434054949952,9.04597009705112,2
15,1,-0.951340332190205,1,85.13812154696133,46.92817679558011,0.519,0.207,False,23.97685618937758,9.86169234276692,0
15,4,-0.4299881932518784,2,68.52797202797203,67.1013986013986,0.751,0.108,False,40.72100695915444,9.21234615642616,2
16,3,-1.0397218201012937,2,96.6547619047619,49.44047619047619,,,True,49.84281707027172,9.019363353231556,2
16,1,-0.7430210118073444,1,87.42631578947369,44.82631578947368,-0.229,0.278,False,26.572594078192708,9.388757505724824,0
16,4,-0.551825215959287,2,69.79552715654953,66.56869009584665,1.078,0.494,False,44.475018068705054,9.432536094096218,2
17,5,-1.0257491520956812,2,104.04918032786884,43.16393442622951,0.57,0.398,False,28.046904147385447,8.428793094984904,3
17,1,-0.44505532311371226,1,89.40760869565217,43.98369565217392,0.014,0.329,False,25.4253923961527,9.293283137985046,0
17,4,-0.6662951467553564,2,73.51470588235294,66.18823529411765,,,True,49.86350117551596,9.661429647710444,2
17,6,-0.9040693325680561,2,89.44808743169399,62.98360655737705,0.445,0.075,False,26.62610754649206,8.937409876870534,3
18,5,-1.1902438743422021,2,106.57560975609756,42.22439024390244,2.591,-0.123,False,30.8961776491412,8.724641282410126,3
18,1,-0.4698261934201343,1,92.7127659574468,40.78191489361702,0.392,-0.766,False,25.49338821288754,9.453455845003235,0
18,7,-0.6612072528482185,2,89.62893081761007,53.16352201257862,1.601,-0.487,False,25.1403603916762,8.21093302272204,4
18,6,-0.6549924118940631,2,90.18686868686868,62.58080808080808,2.42,-1.025,False,28.84899136539351,8.885453699465446,3
18,8,-0.5904872747558805,2,69.99507389162562,67.73399014778325,2.196,-1.213,False,28.615805866871185,9.163169625965898,4
19,5,-1.48793375075183,2,105.2170818505338,43.93594306049822,0.619,0.045,False,43.85261769497519,8.460089598504753,3
19,1,-0.5622760912829259,1,89.1930693069307,39.272277227722775,0.16,0.045,False,27.452918878621688,9.45443588353596,0
19,7,-0.6393951398241924,2,88.82242990654206,49.68691588785047,0.851,-0.093,False,33.146272479715485,8.358743825505414,4
19,8,-0.9298709794342058,2,66.61397058823529,62.4889705882353,0.855,-0.282,False,39.59458217231468,9.20680019693358,4
19,6,-0.5555587587455719,2,84.97348484848484,61.07575757575758,,,True,40.94808940921685,8.762834082329427,3
20,5,-1.5059330505800854,2,106.0406779661017,42.51864406779661,,,True,46.94820000560617,8.558308767162051,3
20,1,-0.5303337721733237,1,90.05418719211822,37.8423645320197,0.006,0.573,False,28.25097528229978,9.205877326229835,0
20,7,-0.6293332952404779,2,88.74074074074075,48.8724279835391,0.652,0.521,False,37.403676318753945,8.478946432261072,4
20,8,-0.9792091435572814,2,67.17666666666666,59.78666666666667,0.69,0.319,False,43.86785491027821,9.277055029222645,4
20,9,-0.7096697301077077,2,92.85106382978724,55.177304964539005,0.601,0.477,False,22.098977029650158,8.228820080898322,6
20,10,-0.47665257377281467,2,75.98701298701299,66.32467532467533,0.453,0.287,False,22.85434480329094,8.687353994713138,6
21,11,-1.9362874345178887,2,108.31543624161074,30.93959731543624,0.416,0.077,False,23.533262738259573,8.193851086546353,5
21,1,-0.566074602582769,1,92.96601941747574,38.300970873786405,0.261,0.06,False,28.28197813222992,9.33423387299896,0
21,7,-0.6124493215285278,2,91.6328125,49.0078125,0.643,0.118,False,40.6645308002478,8.199861686071136,4
21,12,-1.2836662921464725,2,108.06508875739644,52.27218934911242,0.49,0.071,False,25.183496574658736,8.686170932461984,5
21,8,-0.9832026572200543,2,69.0448717948718,60.08012820512821,0.901,-0.088,False,47.319052674820014,9.304148625036438,4
21,9,-0.7181799080728513,2,95.24528301886792,55.81132075471698,0.305,0.045,False,25.102176137884616,8.13696322294832,6
21,10,-0.5649385675064664,2,76.1890243902439,68.26219512195122,0.591,-0.058,False,25.117861283186254,8.451119483553601,6
22,11,-2.2065324408206846,2,109.07185628742516,29.65868263473054,0.434,0.231,False,25.614700933349507,8.434342118236072,5
22,1,-0.631709067382868,1,93.4927536231884,37.80676328502416,0.267,-0.054,False,29.586097970097303,9.082912666355163,0
22,7,-0.6385684531834239,2,92.82222222222222,48.01111111111111,1.388,-0.06,False,43.881928305823074,8.035235537177034,4
22,8,-0.9951268932313727,2,69.69321533923303,58.64306784660767,,,True,51.82213349043821,9.769410232822912,4
22,12,-1.2042185795072347,2,108.78142076502732,51.59562841530055,0.413,0.05,False,27.635944403785068,8.610554239197667,5
22,9,-0.7479563194648509,2,95.72941176470589,55.42941176470588,0.567,0.022,False,26.62577302732142,8.213650738157071,6
22,10,-0.6081397197428775,2,74.8342541436464,69.32044198895028,0.602,0.039,False,28.07462455843592,8.346656902343142,6
23,11,-2.404832482823218,2,110.2912087912088,29.57692307692308,1.93,0.322,False,27.78446792153989,8.494365449042606,5
23,1,-0.6827753570823519,1,93.18483412322274,37.85308056872038,1.23,-0.612,False,30.923317854865765,8.980945226195173,0
23,7,-0.6645145506866437,2,92.1624203821656,48.62101910828026,,,True,50.82369544415042,8.121060046192788,4
23,13,-1.1291733922214038,2,76.97872340425532,46.02127659574468,2.091,-0.457,False,27.245805569168585,8.922389786527233,8
23,12,-1.1619308622467988,2,109.27272727272728,51.14141414141414,2.164,-0.357,False,29.700638185646337,8.673564909488777,5
23,9,-0.7655163245500456,2,95.96296296296296,55.24867724867725,2.671,-0.076,False,29.45863326720859,8.265614878096711,6
23,14,-0.8595233589074854,2,63.70810810810811,67.89189189189189,2.125,-1.39,False,28.95162857738762,8.309812927108373,8
23,10,-0.597480504396695,2,73.27363184079601,71.24875621890547,1.436,-0.378,False,31.08617782356771,8.453489437484508,6
24,11,-2.598734542721299,2,112.8595041322314,25.917355371900825,0.869,0.185,False,37.43313475616503,8.809542668316984,5
24,1,-0.8335749432774687,1,90.63223140495867,35.99586776859504,0.289,0.091,False,37.074531196023614,8.58842736183095,0
24,15,-0.7960482087455798,2,98.51851851851852,38.532407407407405,0.859,0.03,False,34.933000769687496,8.13521265451635,7
24,13,-1.0107324918134328,2,76.13414634146342,42.93089430894309,0.997,0.187,False,37.70113351022076,8.63628403291082,8
24,9,-0.8165588092966309,2,99.424,47.872,,,True,42.81517068722187,7.789903659484954,6
24,12,-0.8565718979633183,2,108.19615384615383,49.21153846153846,,,True,40.52167287742752,8.762733962907685,5
