TimeStep,NumberOfCells
1,85
2,89
3,93
4,93
5,91
6,89
7,94
8,92
9,95
10,92
11,95
12,100
13,87
14,95
15,96
16,98
17,84
18,90
19,96
20,98
21,91
22,95
23,85
24,91
25,85
26,79
27,81
28,92
29,91
30,76
31,80
32,84
33,78
34,86
35,74
36,75
37,74
38,74
39,73
40,91
41,65
42,55
43,81
44,65
45,73
46,89
47,86
48,83
49,79
50,79
51,89
52,65
53,92
54,78
55,64
56,58
57,72
58,71
59,53
60,71
61,62
62,74
63,72
64,78
65,67
66,75
67,64
68,76
69,67
70,74
71,64
72,64
73,60
74,69
75,59
76,62
77,58
78,55
79,59
80,61
81,57
82,60
83,55
84,52
85,46
86,53
87,46
88,55
89,72
90,75
91,68
92,68
93,66
94,66
95,65
96,60
97,70
98,56
99,34
100,33
101,55
102,61
103,65
104,65
105,69
106,59
107,58
108,54
109,60
110,69
111,50
112,65
