StepNumber,NumberOfCells
1,79
2,105
3,81
4,86
5,69
6,74
7,73
8,77
9,76
10,74
11,71
12,65
13,72
14,82
15,94
16,95
17,80
18,93
19,92
20,96
21,115
22,106
23,123
24,119
25,151
26,135
27,154
28,162
29,179
30,192
31,231
32,227
33,259
34,271
35,311
36,319
37,351
38,396
39,422
40,444
41,488
42,492
43,549
44,592
45,707
46,710
47,742
48,777
49,809
50,846
51,956
52,1000
53,1042
54,1100
