CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.00290523801135419,25,9,-4.23870293956337,25.8888888888889
2,0.0209607906189704,24,12,8.18888321099309,28.4166666666667
3,0.0198714064144207,26,9,13.1087288613306,29.6666666666667
4,0.02225088371959,17,18,10.496391063954,22.6666666666667
5,0.0222863503106253,18,11,11.639454018913,21.0909090909091
6,0.0256721177985165,15,18,10.1736344967893,20.7222222222222
7,0.0226580898604636,18,13,11.223006991022,21.8461538461538
8,0.0222863503106253,18,11,15.0000102545733,22
9,0.0164066788022087,29,4,21.873400984247,30.5
10,-0.179665500244229,36,2,61.4592331225244,28.5
11,0,10,1,53.3677320196063,10
12,0,8,1,66.9549818012163,8
13,0,6,1,50.6550340382485,6
14,0.0239292635675041,16,21,3.59628182296419,23.3809523809524
15,0.0221658767864416,18,20,4.3781856881666,23.7
16,0.0430828348497298,7,17,18.5610818686901,15.4117647058824
17,0.0255892905702045,17,13,8.96056764341966,22.2307692307692
18,0.0225258393393425,18,12,8.7292002194792,21.0833333333333
19,0.00186765300729912,25,14,-3.19083590748572,25.7142857142857
20,0.0232501561428384,13,22,5.33933010125622,19.1818181818182
21,0.0259833403591279,14,22,5.82482546953238,21.8181818181818
22,0.0257933003502593,14,16,9.87379267772604,18.125
23,0.0265475563238292,13,21,7.97547224410329,20.1904761904762
24,0.0231687521614794,19,15,6.53908457576432,23.7333333333333
25,0.0269393690475696,18,15,6.72688127316357,23.4666666666667
26,0.0260064295447081,15,16,9.26153967968139,19.6875
27,0.0271822423748998,15,17,8.01565112060248,20.6470588235294
28,0.0231049060186648,16,20,9.83301273180436,22.7
29,0.0231168262619627,15,18,10.4252864300492,20.1111111111111
30,0.0233173244973093,16,16,11.3016652262754,20.4375
31,0.0230448960136516,14,19,9.17589117636616,19.2105263157895
32,0.0241591039688726,14,16,6.62260699432461,17.4375
33,0.0250520521855609,13,14,7.95130507279223,17.3571428571429
34,0.019794816012038,10,37,8.72674380457907,16.3783783783784
35,0.0255460197036004,13,16,19.6130789944818,16.875
36,0.0240887840869663,14,22,5.47984797912768,21.0909090909091
37,0.0251102846523921,14,12,9.74695443020955,17.5833333333333
38,0.0242467310604051,19,16,6.12963862026079,24.3125
39,0.0252556584820965,18,16,5.16455720635811,23.8125
40,0,26,30,-1.26329380901625,25.7
41,0.0215231011306218,21,14,6.0534414008876,24.9285714285714
42,0.0314951658212079,16,14,4.75860672015827,23.2142857142857
43,0.0283193860831759,16,14,7.01335427223816,20.7142857142857
44,0.0237242831768263,17,13,7.86830721733519,20.4615384615385
45,0.029395488099794,16,15,7.03257419251127,22.2666666666667
46,0.0236046218869592,17,12,8.95978535568232,19.4166666666667
47,0.0267448824174979,13,20,8.49758318716279,18.1
48,0.028636662527166,12,18,8.62488273810723,16.2777777777778
49,0,7,5,66.1541149879013,6.4
50,0.0275128537069433,14,15,10.3257522103274,17.7333333333333
51,0.0233173244973093,16,16,8.91024084126253,19.9375
52,0.026971796310045,14,18,7.11368982188713,20.1666666666667
53,0.0185952959428508,16,16,8.78211130618176,19.0625
54,-0.0256721177985165,16,18,9.95048518266048,12.9444444444444
55,0.0311737205831329,14,17,9.60445282095878,20.7647058823529
56,0.0279381626409944,16,15,8.6670928445862,22
57,0.0246287519849351,18,18,7.44337947358715,23.9444444444444
58,0.031755835501954,14,16,7.26011724773907,20
59,0.0283193860831759,16,14,9.1476727078416,20.5
60,0,7,2,166.023554100554,7
61,0.0281525078078925,13,19,6.39500663128052,18.1052631578947
62,0.030582048961675,12,16,7.4696239557313,16.625
63,0.0256665000348899,14,14,12.4816055012696,16.1428571428571
64,-0.0192540883488874,16,24,7.89236732670733,12.25
65,0.0269393690475696,12,15,7.42059200149458,15.6
66,0.0359175273489238,10,21,5.35799730800623,18.8571428571429
67,0.0309721490444674,13,18,10.0209238300997,20
68,0.0285583725635771,14,17,10.9099862173067,19.8235294117647
69,0.0330070085980926,12,14,7.41354218489785,16.7857142857143
70,0.0273658140162113,14,16,6.89520042918835,17.0625
71,-0.0143491227675749,14,26,7.05151118111382,12.5384615384615
72,0.0294418472174033,14,18,9.50700512995448,21.1666666666667
73,0.0303211720875875,12,17,18.6585844575922,17.4117647058824
74,0.0242746166790405,14,20,15.6792318190068,19.25
75,0.0292021244579359,15,18,11.1387137046866,22.6666666666667
76,0.021196625426236,18,15,13.5325876898137,21.7333333333333
77,0.0311737205831329,14,17,6.33267249521161,19.8823529411765
78,0.0330070085980926,13,14,7.1687802084897,19.0714285714286
79,0.0227033610562663,18,15,6.83727421680035,21.8
80,0.0302418888556962,17,11,7.73990930634824,21.0909090909091
81,0.0283193860831759,16,14,5.58443432759436,20.7857142857143
82,0.0137791350467784,16,32,1.74896013995266,22.1875
83,0.0445104642081742,7,2,166.122613951286,7.5
84,0.0330070085980926,13,14,6.34951248556167,18.1428571428571
85,0.0308065413582198,14,15,6.46666189664091,19.4666666666667
86,0.0255717397734916,18,15,7.57043019537688,23.1333333333333
87,0.0101162665229825,17,28,3.30043637010163,21.75
88,0.0301201218449291,17,14,6.86880204789876,23.0714285714286
89,0.0330169594548957,16,19,4.29021135443007,25.8947368421053
90,0.0331220781195787,14,16,6.1864549122251,21.625
91,0.0282075044573986,15,13,7.71866542348765,19.3076923076923
92,0.0270468589336162,17,14,7.39867050598768,21.8571428571429
93,0.0314951658212079,16,14,7.37866166414324,21.4285714285714
94,0.0436538887533943,8,18,18.237263097098,16.4444444444444
95,0.0233325018804649,18,19,7.29342774383406,25.1052631578947
96,0.0301429058924164,15,13,9.73493464340083,19.9230769230769
97,0.0220638616139507,14,15,11.3582150464236,17.4
98,0.0242760473884794,14,17,8.76136627064605,18.4117647058824
99,0.0254583018622508,14,13,11.9947294848718,16.4615384615385
100,0.0275128537069433,14,15,10.2867343995484,18.4666666666667
101,0.0266483708540677,16,14,9.67115850708487,20.2142857142857
102,0.029195451089829,13,14,10.4473675627085,17.1428571428571
103,0.0300884373613203,13,17,8.54531961568912,18.1764705882353
104,0.026971796310045,14,18,7.40887736540502,19.6666666666667
105,0.0303432708488007,14,16,7.93412559057087,20.5
106,0.0223811252021779,15,14,9.26967386927547,18
107,-0.0145169533723218,15,35,5.2172654030727,15.2857142857143
108,0.0276104045358544,14,14,12.1157376719967,17.5
109,0.0283193860831759,16,14,9.2097084653452,20.9285714285714
110,0.0232554730562021,16,15,9.7847822924656,20.9333333333333
111,0.0241591039688726,14,16,11.4328934627199,17.25
112,0.0303211720875875,12,17,9.81945717445234,17.1176470588235
113,0.019307862290865,16,14,8.66647894172095,19.0714285714286
114,0.0257933003502593,14,16,8.62522402653566,18.75
115,0.0274685678701777,15,16,7.21288505189842,20.5
116,0.0231194197991286,16,14,8.78078704011463,20.1428571428571
117,-0.00572162952087717,15,26,6.61415637791108,14.5384615384615
118,0.0275582700935569,16,16,9.82769978637702,22.25
119,0.0299313864401986,11,20,5.89948223266482,17.1
120,0.0322162453430617,12,16,6.87408863682519,17.1875
121,0.0285583725635771,14,17,6.9673370885255,19.0588235294118
122,0.0236398517292329,14,14,7.53283987895619,17.7142857142857
123,0.0308065413582198,14,15,5.977775276232,19.2
124,0.0248718127971299,16,15,5.54534152946594,19.8666666666667
125,0.0239616977734628,14,23,4.69011577919436,20
126,0.0307332892971158,11,16,6.95025131330459,15.6875
127,0.0281121137219338,17,15,8.45987697337054,23.0666666666667
128,0.0243250297031424,18,14,9.57017984079993,21.9285714285714
129,0.0288811325233311,14,16,7.27015393686979,19.1875
130,0.0236398517292329,14,14,8.61381432956926,17.2142857142857
131,0.0326664545898598,14,11,11.9822322535265,18.2727272727273
