StepNumber,NumberOfCells
1,13
2,10
3,9
4,9
5,10
6,11
7,11
8,11
9,11
10,11
11,12
12,14
13,15
14,16
15,16
16,16
17,16
18,16
19,18
20,18
21,18
22,19
23,21
24,21
25,21
26,23
27,23
28,26
29,27
30,28
31,29
32,29
33,30
34,31
35,34
36,35
37,35
38,37
39,39
40,42
41,46
42,47
43,47
44,48
45,50
46,52
47,53
48,55
49,58
50,60
51,62
52,64
53,64
54,70
55,75
56,78
57,84
58,85
59,86
60,93
61,96
62,100
63,102
64,106
65,110
66,120
67,129
68,139
69,145
70,151
71,161
72,165
73,170
74,177
75,179
76,182
77,193
78,201
79,207
80,215
81,226
82,237
83,250
84,269
85,284
86,302
87,311
88,323
89,334
90,336
91,341
92,355
93,366
94,380
95,394
96,418
97,442
98,471
99,492
100,511
101,556
102,582
103,601
104,611
105,617
106,629
107,638
108,653
109,679
110,701
111,748
112,785
113,816
114,858
115,883
116,927
117,962
118,987
119,1010
120,1024
121,1039
122,1045
123,1055
124,1074
125,1138
126,1161
127,1206
128,1253
129,1312
130,1366
131,1422
132,1452
133,1491
134,1501
135,1507
136,1521
137,1542
138,1545
139,1574
140,1607
141,1681
142,1745
143,1791
144,1892
145,1975
146,2037
147,2082
148,2096
149,2107
150,2108
151,2095
152,2104
153,2125
154,2179
155,2231
156,2268
157,2309
158,2369
159,2458
160,2479
161,2546
162,2585
163,2611
164,2563
165,2535
166,2502
167,2469
168,2453
169,2441
170,2465
171,2492
172,2524
173,2565
174,2580
175,2639
176,2689
177,2718
178,2684
179,2676
180,2588
181,0
182,2596
183,2561
184,2531
185,2534
186,2542
187,2547
188,2578
189,2613
190,2605
191,2638
192,2672
193,2667
194,2711
195,2723
196,2718
197,2694
198,2614
199,0
200,2645
201,2593
202,2543
203,2551
