TimeStep,Cell_lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
1,1,90,195.5,59,31,8
1,2,26.5650501251221,131.400009155273,53.7000007629395,35.3298759460449,8.04984474182129
1,3,66.8014068603516,329.060333251953,83.4741439819336,26.2612895965576,8.27230644226074
1,4,75.9637603759766,46.1470642089844,166.588241577148,23.5259552001953,6.79099750518799
1,5,30.9637546539307,232.088226318359,192.852935791016,24.3527984619141,7.54593753814697
1,6,7.12501668930054,282.361541748047,224.607711791992,23.6906337738037,8.31032752990723
1,7,32.0053825378418,276.258422851563,258.286529541016,37.4179191589355,9.53997993469238
1,8,80.1341857910156,133.095413208008,285.548614501953,43.4349899291992,8.82406997680664
1,9,8.13010311126709,139.809997558594,298.329986572266,33.6582832336426,9.4752311706543
2,1,90,195.5,59,31,8
2,2,26.5650501251221,131.600006103516,54.3000030517578,35.3298721313477,8.04984474182129
2,3,63.4349517822266,328.700012207031,83.4000091552734,26.8328132629395,8.49705791473389
2,4,77.9052429199219,45.9999961853027,167.000015258789,24.7244338989258,7.26367616653442
2,5,29.7448825836182,232.215393066406,193.123077392578,25.551155090332,7.69015264511108
2,6,7.12501668930054,281.984649658203,224.623092651367,24.6829109191895,8.43436145782471
2,7,30.9637546539307,276.117645263672,258.470581054688,38.4156837463379,9.60391998291016
2,8,79.6951522827148,133.540008544922,285.720031738281,44.2741508483887,8.40761566162109
2,9,6.11550378799438,139.736450195313,298.793182373047,35.4400215148926,9.73002624511719
2,10,33.6900672912598,121.423072814941,164.115371704102,6.93375253677368,4.71495151519775
3,1,4.76364183425903,194.858612060547,59.6965560913086,30.2285556793213,8.05541229248047
3,2,25.3461780548096,131.367645263672,54.279411315918,35.7214279174805,7.89581537246704
3,3,63.4349517822266,329.200012207031,83.3999938964844,27.7272415161133,8.04984474182129
3,4,77.47119140625,46.3705902099609,167.41764831543,25.7062606811523,7.26717138290405
3,5,29.7448825836182,232.092315673828,193.338455200195,25.551155090332,7.69015264511108
3,6,7.12501668930054,282.415405273438,224.676940917969,25.551155090332,8.43436145782471
3,7,31.6075019836426,276.446350097656,258.774658203125,39.3073120117188,9.76131439208984
3,8,80.5376739501953,134.094604492188,285.567565917969,45.3741226196289,9.04194450378418
3,9,5.52753973007202,138.812362670898,298.772155761719,35.2225456237793,9.66452789306641
3,11,36.8698959350586,121.080009460449,164.560012817383,8,4.80000019073486
3,12,45,114,176.5,10.6066017150879,4.94974708557129
4,1,4.76364183425903,195.906890869141,60.1172409057617,32.3877372741699,8.55368518829346
4,2,25.0168952941895,131.770080566406,54.4927024841309,36.6097984313965,7.85358667373657
4,3,63.4349517822266,329.5,83.5000152587891,29.0688819885254,8.49705791473389
4,4,75.9637603759766,46.3823623657227,167.529418945313,25.9513130187988,7.27606821060181
4,5,30.9637546539307,232.54411315918,193.926452636719,25.2102890014648,7.54593753814697
4,6,12.5288076400757,282.835266113281,225.241134643555,24.9470024108887,8.56875324249268
4,7,31.6075019836426,276.446350097656,258.774658203125,39.9624290466309,9.76131439208984
4,8,79.6951522827148,134.548004150391,285.763977050781,46.241886138916,9.03371620178223
4,9,3.9451858997345,138.733154296875,299.119537353516,35.2610702514648,9.76989650726318
4,13,90,45.5,146,8,7
5,1,6.34019184112549,196.286575317383,60.4207305908203,33.3503227233887,8.50322818756104
5,2,25.2011222839355,131.533996582031,54.4277687072754,37.949161529541,7.77079629898071
5,3,63.4349517822266,329.5,83.5000152587891,29.0688819885254,8.49705791473389
5,4,71.565055847168,46.4500007629395,167.349990844727,26.2469024658203,7.58946561813354
5,5,30.2564353942871,232.463729858398,194.06217956543,25.1935482025146,7.41410207748413
5,6,12.9946165084839,282.907287597656,225.401672363281,25.1842670440674,8.31980133056641
5,7,30.9637546539307,276.485290527344,259.191162109375,40.4736633300781,9.43242263793945
5,8,79.2156982421875,135.408111572266,285.517547607422,48.0410308837891,8.93460273742676
5,9,4.76364183425903,138.706909179688,299.017272949219,35.2943305969238,9.71632194519043
5,13,56.3099365234375,46.269229888916,147.153839111328,6.37905216217041,5.54700231552124
6,1,6.58194494247437,196.37516784668,60.5817489624023,33.3556175231934,8.48218441009521
6,2,23.1985893249512,132.344833374023,54.8620719909668,38.8667106628418,7.87838697433472
6,3,63.4349517822266,329.100036621094,84.1999969482422,27.7272415161133,8.49705791473389
6,4,71.5650482177734,46.6499977111816,167.450012207031,26.5631313323975,7.90569353103638
6,5,29.0546054840088,232.405685424805,194.169830322266,25.1563014984131,7.47890090942383
6,6,12.9946165084839,282.76123046875,225.367965698242,25.9337978363037,8.31980133056641
6,7,30.9637546539307,276.705871582031,259.323516845703,40.9881591796875,9.43242263793945
6,8,79.6951522827148,135.643981933594,285.792022705078,48.3885154724121,8.58650207519531
6,9,3.81407451629639,138.256637573242,299.650451660156,36.2528610229492,10.8425970077515
6,14,77.0053787231445,43.6235961914063,137.702239990234,25.9337978363037,7.64522314071655
6,15,26.5650501251221,113.400009155273,177.200012207031,9.83869934082031,5.36656284332275
7,1,7.43140935897827,195.891250610352,60.8336372375488,32.5072479248047,8.49327182769775
7,2,23.9624900817871,133.082489013672,55.3144378662109,39.801570892334,8.0212345123291
7,3,61.189208984375,329.218811035156,83.5796508789063,29.5284767150879,8.58691596984863
7,4,70.3461761474609,46.7533912658691,167.40950012207,26.5705738067627,7.87027168273926
7,5,29.0546054840088,232.405685424805,194.169830322266,25.1563014984131,7.47890090942383
7,6,14.036244392395,282.852966308594,225.588241577148,25.223705291748,8.00367546081543
7,7,31.6075019836426,276.547180175781,259.298248291016,41.3381881713867,9.63029098510742
7,8,79.8753280639648,136.244140625,285.867126464844,48.8346405029297,8.19184303283691
7,9,4.23639488220215,139.218292236328,299.55322265625,36.1232566833496,10.6744594573975
7,14,74.0546035766602,43.4339599609375,137.518859863281,25.9611434936523,7.69219064712524
7,15,90,113,178.5,7,6
7,16,45,119.000015258789,167.000015258789,12.7279224395752,5.65685367584229
8,1,6.34019184112549,196.341461181641,60.926830291748,33.3503227233887,8.61366081237793
8,2,23.1985912322998,133.793121337891,55.4827613830566,40.1797714233398,7.8783860206604
8,3,59.7435646057129,328.774597167969,84.2564697265625,29.1525344848633,8.42184257507324
8,4,71.5650482177734,46.9499969482422,167.349990844727,27.1955871582031,8.53814792633057
8,5,28.6104621887207,232.694244384766,194.560485839844,26.0176334381104,7.34240007400513
8,6,10.3048458099365,281.936004638672,225.851989746094,26.8328189849854,7.78151750564575
8,7,30.9637546539307,276.485290527344,259.191162109375,42.1886520385742,9.43242263793945
8,8,79.5085296630859,136.112747192383,286.108795166016,49.564697265625,8.33968830108643
8,9,3.81407499313354,139.183639526367,299.245574951172,36.186336517334,9.91133117675781
8,14,72.8972702026367,43.2621650695801,136.727035522461,28.1587238311768,8.013840675354
8,16,28.07248878479,116.73356628418,171.124557495117,22,5.41176462173462
9,1,6.34019184112549,196.396331787109,60.9329299926758,33.4607543945313,8.61366081237793
9,2,23.1985912322998,133.758636474609,55.8965530395508,39.9171562194824,7.8783860206604
9,3,59.5344543457031,329.113128662109,83.992301940918,30.0155925750732,8.61934280395508
9,4,71.5650482177734,47.0499954223633,167.649993896484,27.8280410766602,8.53814792633057
9,5,26.5650501251221,232.400024414063,194.70002746582,26.3856010437012,7.15541696548462
9,6,10.0079803466797,282.338928222656,225.91276550293,27.6318645477295,7.82033920288086
9,7,30.1413822174072,276.658386230469,259.366149902344,42.6815185546875,9.45688533782959
9,8,79.5085296630859,135.751998901367,286.360778808594,50.365894317627,8.70386791229248
9,9,3.57633447647095,138.679000854492,299.636169433594,37.1150817871094,10.6666879653931
9,14,70.3461761474609,43.3529434204102,136.588241577148,27.8486518859863,8.2066068649292
9,16,28.3007564544678,115.924308776855,173.497711181641,21.5376777648926,6.16329860687256
10,1,7.43140935897827,196.813171386719,61.4321517944336,34.4904479980469,8.75195121765137
10,2,23.4985637664795,134.349746704102,56.1955490112305,41.2282867431641,7.89477777481079
10,3,59.7435646057129,329.147644042969,84.0388412475586,30.0163135528564,8.42184257507324
10,4,71.5650482177734,47.1499977111816,167.949981689453,28.4604949951172,8.53814792633057
10,5,28.6104621887207,232.595504760742,194.824844360352,26.895528793335,7.58182573318481
10,6,9.46232128143311,282.783813476563,226.297302246094,26.9614334106445,7.89115142822266
10,7,29.7448825836182,276.361541748047,259.492309570313,44.0323295593262,9.42663955688477
10,8,78.1113433837891,136.111419677734,286.529235839844,51.3996162414551,8.08591175079346
10,9,80.5376739501953,129.01350402832,300.5810546875,18.5770854949951,7.72675228118896
10,14,67.6198654174805,42.994083404541,136.414199829102,29.698486328125,7.94135284423828
10,16,36.8698959350586,119.460014343262,166.720016479492,9.80000019073486,4.80000019073486
10,17,45,113.250015258789,178.750015258789,10.6066017150879,5.65685367584229
10,18,23.9624919891357,149.762893676758,299.283508300781,17.8700923919678,8.83351135253906
11,1,6.84277391433716,196.817840576172,61.5181465148926,34.4726829528809,8.61817073822021
11,2,23.7494945526123,134.787536621094,56.3465118408203,42.1411018371582,7.83509588241577
11,3,60.2551155090332,329.099975585938,84.3000030517578,30.3885078430176,8.8064661026001
11,4,71.5650482177734,46.9500007629395,167.850006103516,30.0416355133057,8.8543758392334
11,5,26.5650501251221,232.600021362305,194.800018310547,26.8328151702881,7.15541696548462
11,6,8.97262668609619,282.337860107422,226.027038574219,27.9173011779785,7.95409154891968
11,7,29.0546054840088,276.372680664063,259.429260253906,44.7762832641602,9.71286010742188
11,8,79.2868728637695,135.70979309082,286.608917236328,52.5276679992676,8.6306848526001
11,9,90,129,300,18,8
11,14,67.6198654174805,42.9940872192383,136.414199829102,28.6106281280518,7.94135284423828
11,17,36.8698959350586,113.459999084473,179.220016479492,8.60000038146973,4.59999990463257
11,18,24.4439544677734,149.890411376953,299.541107177734,17.4624843597412,9.18642520904541
11,19,59.0362510681152,119.514694213867,167.191162109375,12.004900932312,6.3454475402832
12,1,6.34019136428833,197.213409423828,61.5792694091797,35.2276649475098,8.61366081237793
12,2,23.4985656738281,134.762313842773,56.3966598510742,42.1453552246094,7.85490465164185
12,3,60.2551155090332,329.046142578125,84.3307723999023,30.5125408172607,8.80646514892578
12,4,69.4439544677734,47.0068550109863,167.684951782227,29.1432456970215,8.19288063049316
12,5,26.5650501251221,232.600021362305,194.800003051758,25.9383888244629,7.15541696548462
12,6,8.74616241455078,282.809234619141,226.239868164063,26.9141216278076,7.98300266265869
12,7,26.5650501251221,265.000030517578,254.000015258789,18.7829704284668,8.04984474182129
12,8,75.9637603759766,147.852951049805,283.911773681641,27.4065265655518,8.48874568939209
12,9,80.5376739501953,128.000015258789,300.5,18.9058837890625,7.56235361099243
12,14,66.0375137329102,42.9793853759766,136.45361328125,30.4603843688965,8.12276935577393
12,18,18.4349498748779,149.399993896484,299.300018310547,17.3925247192383,8.53814792633057
12,19,26.5650501251221,116.70002746582,172.100006103516,23.702320098877,5.81377649307251
12,20,40.6012992858887,285.788208007813,265.247039794922,24.0792808532715,7.37563562393188
12,21,75.9637603759766,120.029434204102,289.11767578125,22.3132743835449,8.00367546081543
13,1,6.11550378799438,197.3203125,61.6771774291992,35.4400215148926,8.66469478607178
13,2,23.7494945526123,135.176940917969,56.5978546142578,43.0564193725586,7.90832138061523
13,3,60.2551155090332,329.046142578125,84.3307723999023,30.5125408172607,8.80646514892578
