1	0	0	0
2	1	1	0
3	2	2	0
4	3	3	0
5	4	4	0
6	5	5	0
7	6	6	0
8	7	7	0
9	8	8	0
10	9	9	0
11	10	10	0
12	10	14	0
13	11	11	0
14	12	19	0
15	15	16	12
16	17	17	0
17	18	18	0
18	19	19	0
19	20	25	14
20	20	22	0
21	21	21	0
22	22	23	0
23	23	29	20
24	24	31	22
25	24	33	50
26	26	29	19
27	29	35	58
28	30	32	26
29	30	38	23
30	32	39	24
31	32	37	55
32	33	33	61
33	33	33	51
34	34	36	25
35	34	36	0
36	36	37	62
37	36	39	52
38	37	38	35
39	37	39	56
40	37	39	34
41	37	39	59
42	37	39	0
43	38	39	70
44	38	38	66
45	38	39	36
46	38	39	31
47	39	39	67
48	39	39	29
49	39	39	64
50	15	23	12
51	24	32	50
52	33	35	51
53	36	39	52
54	20	20	14
55	26	31	19
56	32	36	55
57	37	39	56
58	23	28	20
59	29	36	58
60	37	39	59
61	24	32	22
62	33	35	61
63	36	39	62
64	30	38	23
65	39	39	64
66	32	37	24
67	38	38	66
68	39	39	67
69	34	39	25
70	30	37	26
71	38	39	70
72	39	39	29
73	38	39	31
74	37	39	34
75	37	39	35
76	38	39	36
