ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,152,238,106,145,89,131,96.99342105263158,137.32894736842104,1.1790329808524094,160,0.876873537510168,13.911592676604096,1,0.6386554621848739,0.8481526948271003,20.060601834878234,19.4164878389476,5.0,2.328006652493673,2.23606797749979,9.192388155425117,9.643555065404467,-54.85540292476154,47.4558441227157,0.95,0.5133485697605962,0.009051538923912734,0.17572674759918774,0.10526992929867054,0.004920916364876162,0.005200470477619048,0.027932523916739248,0.04203929680708758,0.04140916563515193,0.0018071408034916875,0.0040427860366970166,0.004083377883045792,0.011723064861575374,0.0062682275593686975,0.0048542163983255025,0.020380712655526177,0.004416912842025094,0.003590791215119655,0.003808659528996361,0.0031410544228872117,0.011812993084448983,0.017886130725409,0.010893864527435395,0.007732288581256673,0.011636239014705986,0.002659932270777573,0.005229230678277515,0.002021743638825946,0.0033762663486189277,0.002626897698225484,96.99342105263158,137.32894736842104,0,0.0,15.407818436093889,2,1.0,25.862068965517242,0.0,0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,174,288,100,160,82,144,90.69540229885058,151.39080459770116,1.2223526474017832,185,0.8780175507812373,14.884343478431232,1,0.6041666666666666,0.8180945180800213,21.548156194542692,20.615528128088304,5.385164807134504,2.4251777829601764,2.23606797749979,9.899494936611665,10.313560315462649,-49.22058616007684,51.698484809834994,0.9405405405405406,0.5212792489033372,0.016363882421718937,0.17026340741056403,0.1094973100167302,0.010004614911955895,0.00782421640596137,0.029329567644155195,0.03898651941837317,0.042768894149087744,0.0025206743616659776,0.0025010049185750045,0.006476885539735009,0.011227606428906606,0.0063943739092759844,0.004471165234557279,0.018928402246742096,0.0060579629733163755,0.0052414361178184715,0.0057349651159424135,0.00695217242973964,0.010718048211565266,0.018410065535077125,0.007922152338304582,0.00896950579733371,0.00870006138073238,0.005572799622592822,0.002903887621668704,0.004180939900935302,0.004436946077897216,0.006199135747497486,90.69540229885058,151.39080459770116,0,0.0,15.407818436093889,1,1.0,21.875,0.0,0,2,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
2,1,177,315,109,144,88,129,98.31638418079096,136.14124293785312,1.3367145486877128,188,0.9163271532169542,15.012108426804138,1,0.5619047619047619,0.7481028772984673,23.78158247216792,22.360679774997898,5.0,2.311310965521256,2.23606797749979,9.089425012552969,9.522869859833698,-59.48716696069395,54.52691193458118,0.9414893617021277,0.45072679883624756,0.013968081954927172,0.15407217082931282,0.10687910941012412,0.011004673964703324,0.005447994854099312,0.041520891593296964,0.050211335506696375,0.04514187205343486,0.004168578516710237,0.005646088001779597,0.002643130135987999,0.004922819151085103,0.008278877942411228,0.0126372768908121,0.022328187059637124,0.00157996368285903,0.003726818604617781,0.0022942490109805792,0.001441709833457303,0.004368758287538313,0.011018390497907073,0.0034576797690181143,0.004353509466760028,0.011949792876743843,0.004263103265791528,0.0034568739065786724,0.0031959881576492234,0.0013857337145710877,0.001201238992926052,98.31638418079096,136.14124293785312,0,0.0,13.317120054809793,2,1.0,29.41176470588235,0.0,0,1,1,1.7778844880531286,1.7778844880531286,nan,1.7778844880531286,1,2,1.0,1.0,1,1.3229631281593868,-1.1877044305679192
2,2,204,396,106,158,84,140,94.57352941176471,148.92156862745097,1.3855526875706856,217,0.9208453045646477,16.11647812414279,1,0.5151515151515151,0.721733651105912,25.87818569156485,24.413111231467404,5.0,2.4426232591411488,2.23606797749979,9.52659947520497,10.090631840929593,-53.39380423964216,59.59797974644666,0.9400921658986175,0.4358068240368679,0.015481495033949959,0.15263848692908594,0.10377008312830012,0.011045209744159335,0.006367536306833472,0.045502464669044625,0.049516849026408294,0.04539363498553269,0.0058161063507150374,0.0034743173596411773,0.0046613635429962035,0.004977665249355708,0.011559488143420482,0.013513315258415969,0.02357927345192085,0.004507520096395897,0.0011749221555571198,0.005681966873785064,0.0035187522125637526,0.002998109102073556,0.010671710137940268,0.0010965700714008911,0.0012971880058116824,0.013120232519397491,0.004696283691605638,0.0033540495045827276,0.0040863044059552284,0.0040236231849374,0.002431204916464768,94.57352941176471,148.92156862745097,0,0.0,13.317120054809793,1,1.0,27.027027027027028,0.0,0,2,2,4.59749890491527,4.59749890491527,nan,4.59749890491527,2,2,1.0,1.0,2,3.878127112914129,-2.469235970250196
3,1,185,352,110,144,88,128,98.6054054054054,135.67027027027027,1.4150315088231102,200,0.9266406523806809,15.347615963921077,1,0.5255681818181818,0.7066980443648959,25.113614434107976,23.323807579381203,4.47213595499958,2.296873185793035,2.23606797749979,8.74642784226795,9.44141988790953,-58.328511806047835,57.35533905932738,0.925,0.43283499365167805,0.025401491110100333,0.1435905215024431,0.1063693486532019,0.01791537255645706,0.019122745435058763,0.04363844232728874,0.04958764940625626,0.04409301639535728,0.0070089027045320594,0.011509703629039731,0.012687265330515531,0.008539946000066807,0.012549302231591617,0.012453168282808708,0.02069908820890493,0.0012622926248666679,0.002642106245868503,0.0020524243332034316,0.008447652667832322,0.00124232896135831,0.00897360615564979,0.0026122603252926656,0.00492205135605691,0.010166234536123994,0.004655560154604125,0.005205384929280952,0.0031438059842764337,0.004086205161117915,0.005726098916615781,98.6054054054054,135.67027027027027,0,0.0,12.35124637670605,2,1.0,33.333333333333336,0.0,0,1,1,2.312942556467312,0.5525834976614347,nan,2.3304679857145634,1,3,0.9924798669817908,2.0,1,0.28902122461444435,-0.4709726675828563
3,2,214,437,108,158,85,139,96.24766355140187,147.79439252336448,1.449148994507714,228,0.9342362770350116,16.50676414605009,1,0.4897025171624714,0.6900601689612371,27.748933066393896,26.076809620810597,5.0,2.4139116726957583,2.23606797749979,9.328009686202215,9.896787539704116,-53.562880044484956,62.42640687119285,0.9385964912280702,0.4006959743725364,0.025572195633551616,0.14170847735780787,0.0977273131924548,0.02012975802774877,0.017459907140103197,0.042420283228118714,0.05336316189727662,0.041162613115289584,0.009956308546015199,0.014386652171124956,0.01151688085950801,0.0136781821907445,0.013612996622069965,0.017757521561924304,0.02006950621200843,0.0031739633611587294,0.0029183869458018663,0.006448115672972437,0.007270467785157919,0.0008067460343020333,0.0024209960487600445,0.0022440362984926625,0.0029208108604598195,0.010514206539912502,0.004222695165797941,0.0036525174646143015,0.004112006716948273,0.0018180520254264794,0.004174451554407804,96.24766355140187,147.79439252336448,0,0.0,12.35124637670605,1,1.0,29.11392405063291,0.0,0,2,2,6.615269066713545,2.0182296913687128,nan,6.615728596283983,2,3,0.9999305398394523,2.0,2,1.674134139637161,-1.1271761040864874
4,1,191,352,113,144,91,128,101.30890052356021,135.33507853403142,1.3705802572370438,201,0.9251707834878232,15.594510349620345,1,0.5426136363636364,0.7296179809388926,25.40323961669312,23.706539182259394,5.0,2.3464515707678837,2.23606797749979,8.875203139603666,9.641827000268595,-57.54585510415087,57.35533905932738,0.9502487562189055,0.4281890995639605,0.009215107718594049,0.15263039868657546,0.10169538439986676,0.008404002332589798,0.005592242948791424,0.03682187842758014,0.058840126892201854,0.04028824420715873,0.0033961295784721867,0.0051330791549990115,0.0024321486891902104,0.01359934181508126,0.00825490583322059,0.018071509837697588,0.01833032856768473,0.0016784296821128661,0.0011380432134736416,0.0011235101162443172,0.0014080320531453673,0.004759165639933813,0.0030402014606853846,0.007336484121954204,0.00215945441262724,0.008555532444770622,0.0017542248811900725,0.0028751718596701273,0.0016014388477295753,0.0018648509187087349,0.0012156873897430347,101.30890052356021,135.33507853403142,0,0.0,11.574882683881262,2,1.0,36.111111111111114,0.0,0,1,1,4.75382750978164,2.7241951754471767,nan,5.05466316116174,1,4,0.9404835412789491,3.0,1,2.7034951181548053,-0.3351917362388406
4,2,232,500,113,157,88,137,100.00431034482759,146.83620689655172,1.551490644818923,249,0.9450285170428632,17.186959427966244,1,0.464,0.6445414307455986,30.231140940385842,28.0178514522438,5.0,2.4107905125745535,2.23606797749979,9.183563460761723,9.885217994703627,-54.69513723725888,67.25483399593904,0.9317269076305221,0.3762949992083538,0.014022836922409519,0.13278180226842562,0.09766017189511497,0.009584715779899278,0.009390906743093026,0.04529125799170626,0.05573550849106325,0.04356982876729865,0.005589572011087538,0.00605818696267481,0.007084367231444839,0.018745218961860932,0.018510593379051327,0.0217578013155047,0.022377954956770744,0.0024530060288067332,0.002611035462215442,0.0034145912897035084,0.0053254034831866056,0.004709316872859898,0.0018392511222848525,0.004325032883706948,0.0056443458954751145,0.012280302553080446,4.7456942464069095e-05,0.002211872784232641,0.002669960966243877,0.0016494754766107102,0.004117928107336204,100.00431034482759,146.83620689655172,0,0.0,11.574882683881262,1,1.0,30.58823529411765,0.0,0,2,2,10.363403361240518,3.8769207918122706,nan,10.492649388096254,2,4,0.9876822314293315,3.0,2,3.756646793425716,-0.9581856268127638
5,1,176,336,114,144,93,128,103.38068181818181,135.1931818181818,1.4149460067153887,187,0.9261869257359981,14.96964127403822,1,0.5238095238095238,0.7067407485896714,24.43398194136402,23.021728866442675,4.47213595499958,2.260101204124669,2.23606797749979,8.574929257125442,9.213191766274862,-56.88160118274891,55.94112549695428,0.9411764705882353,0.42281162240262005,0.012092106973150786,0.15012350915496123,0.10182375577757836,0.008424046270641078,0.010432525945437754,0.04588133499194102,0.05184333045098257,0.044156961544272635,0.005133582633951205,0.0026395753241562816,0.009409132530569355,0.006242943223954473,0.015088288074663916,0.014912924615614003,0.022772865829987343,0.0006953777832038104,0.0016543002307858868,0.001723861068744499,0.007921342730853096,0.0005326981654414424,0.009066975875038028,0.0002525332439905144,0.0013131845829476496,0.012493425745756936,0.0014040889189571818,0.004301767506050068,0.002111028188307347,0.0025924669307035944,0.006553697100933862,103.38068181818181,135.1931818181818,0,0.0,11.03758908725904,2,1.0,39.130434782608695,0.0,0,1,1,6.734878957540817,2.076634876600329,nan,7.131298037762068,1,5,0.9444113710965226,4.0,1,2.0717812946216014,-0.1418967158496116
5,2,242,546,116,157,90,136,102.5909090909091,146.20247933884298,1.6695653977348737,260,0.9537492297770918,17.55346033766304,1,0.4432234432234432,0.5989582686348891,32.21533598144845,30.0,5.0,2.364636828915031,2.23606797749979,9.121403400793104,9.684039667916352,-54.28114582698258,71.25483399593904,0.9307692307692308,0.34235996647323264,0.01041818009084466,0.1264939909184296,0.09007910947227542,0.0020108417935173276,0.0041532416033790666,0.045502626155570394,0.05675982312187474,0.041657969288798835,0.0018454219608202904,0.001002597307240865,0.002416524742183248,0.02291825032645104,0.021188574317253458,0.025819627251914997,0.022470043502047298,0.0021219312179182716,0.0007517368847185758,0.002516119663829927,0.0020594440474520108,0.0071413283863429764,0.006314760744110993,0.007093694634496695,0.010139851116543891,0.0129310483909908,0.0011022316336014779,0.0019984570938562673,0.0018285912669319326,0.0027971207879448263,0.0019918360281101703,102.5909090909091,146.20247933884298,0,0.0,11.03758908725904,1,1.0,32.22222222222222,0.0,0,2,2,12.9777425167714,2.66310039064056,nan,13.155749778736814,2,5,0.9864692423495983,4.0,2,2.5865987460815063,-0.6337275577087382
