CellId,birth Length,Last Length,AverageLength,AverageOrientation,AverageVelocity,LifeHistory,growth rate
1.0,24.5123691558838,18.7115230560303,18.5208097759046,-73.48143888774673,-0.072,19.0,-0.014
2.0,47.0447006225586,47.3701210021973,47.20741081237795,79.3154220581055,0.197,2.0,0.003
3.0,48.5844612121582,12.9084272384644,35.33356867896185,82.7824418809679,-0.506,9.0,-0.147
4.0,24.3360424041748,35.869255065918,28.151671364193867,-77.65179080054874,0.122,21.0,0.018
5.0,22.7610530853271,11.6971054077148,20.005824279785138,61.514355468750026,0.566,5.0,-0.133
6.0,20.2554588317871,14.2851285934448,18.554397900899232,-78.2236531575521,-1.52,3.0,-0.116
7.0,43.6362075805664,47.0842628479004,46.21312297474254,-63.43210116299716,0.167,11.0,0.007
8.0,20.6115779876709,14.7035980224609,19.339904785156232,-53.63221232096357,-1.193,3.0,-0.113
9.0,20.6568012237549,12.8570737838745,18.360842466354377,71.86679458618165,0.2,4.0,-0.119
10.0,22.6792907714844,11.2173452377319,20.34673290252686,68.45076904296876,-0.93,5.0,-0.141
11.0,23.6138401031494,12.4111070632935,24.894271460446443,-75.68883930553089,-0.577,22.0,-0.029
12.0,19.7305946350098,16.8256206512451,26.09942054748536,-56.89768400646391,-0.754,21.0,-0.008
13.0,26.8413047790527,11.7987079620361,23.10997085571288,-78.2823486328125,-0.172,5.0,-0.164
14.0,23.0773296356201,10.6462984085083,20.22475528717042,77.62507629394533,-0.643,5.0,-0.155
15.0,29.4292888641357,13.858510017395,24.896011193593328,47.71780141194662,-0.185,6.0,-0.126
16.0,38.6640586853027,52.0146446228027,45.37241846720379,8.780786132812505,-0.039,15.0,0.02
17.0,38.2216835021973,50.1121292114258,44.080838309394,55.49371761745877,0.196,18.0,0.015
18.0,29.7477512359619,10.8095235824585,24.582001095726383,52.63177199590774,-0.535,21.0,-0.048
19.0,18.2449989318848,11.821741104126,16.950159454345723,-70.85950012207033,0.165,5.0,-0.087
20.0,24.7787799835205,9.7247142791748,19.931160132090252,64.30796813964842,-1.102,6.0,-0.156
21.0,26.4714336395264,38.9898567199707,32.05465698242188,-57.34870583670481,0.173,14.0,0.028
22.0,24.6438827514648,16.2777919769287,20.46083736419675,55.24676513671875,-2.14,2.0,-0.207
23.0,10.4759931564331,10.4759931564331,10.4759931564331,49.0121154785156,0.0,1.0,0.0
24.0,12.9983501434326,11.9790325164795,12.48869132995605,62.18371582031256,0.539,2.0,-0.041
25.0,32.9432792663574,12.8005399703979,26.503795093960232,36.623799076786746,-0.318,27.0,-0.035
26.0,31.2524967193604,32.7358779907227,31.734808603922563,60.98243204752607,0.568,3.0,0.015
27.0,19.2563571929932,24.203369140625,21.1238362448556,-7.5662623814174,-0.52,7.0,0.033
28.0,53.2645645141602,48.9062347412109,51.08539962768555,80.66194152832036,-1.247,2.0,-0.043
29.0,34.7141075134277,18.4437160491943,20.61274738311767,-27.93364257812499,-2.571,10.0,-0.063
30.0,44.1449394226074,44.1449394226074,44.1449394226074,77.4780731201172,0.0,1.0,0.0
31.0,23.0035133361816,13.0200624465942,20.934096336364718,74.90766906738283,-0.093,5.0,-0.114
32.0,22.4012393951416,11.3512907028198,18.611303520202643,-85.20885620117191,-0.129,5.0,-0.136
33.0,20.8217296600342,50.7965545654297,32.23489677074344,-35.44454423771348,0.081,43.0,0.021
34.0,20.6178970336914,13.8051242828369,19.804829420045365,-63.719594556231854,0.088,43.0,-0.009
35.0,44.5327796936035,48.5612716674805,46.1222412109375,67.26259155273439,0.834,5.0,0.017
36.0,18.685245513916,16.2608661651611,16.498168264116543,3.6236812046595963,-1.173,7.0,-0.02
37.0,28.6261730194092,27.280200958252,29.620084081377303,-76.37056255340576,0.015,112.0,-0.0
38.0,22.2598876953125,9.48141574859619,23.677075164262632,-40.2081572066906,-0.08,43.0,-0.02
39.0,22.7051429748535,43.285285949707,31.682893464059553,-46.91586581143466,-0.25,33.0,0.02
40.0,42.6717987060547,11.861328125,30.799228986104353,-78.41331227620446,-3.059,6.0,-0.213
41.0,38.086353302002,38.086353302002,38.086353302002,-65.2159423828125,0.0,1.0,0.0
