CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.00114896311424673,13,43
2,-0.00439932569861412,18.0249805450439,43
3,-0.000991749227978289,26,75
4,-0.0165761169046164,18.368688583374,45
5,0.000496974971611053,16,79
6,-0.0016053436556831,27.2941265106201,78
7,-0.00964657869189978,45.8601875305176,89
8,-0.0103108519688249,32.6417541503906,37
9,-0.00338784581981599,20.8012580871582,87
10,-0.00635663373395801,21.2132034301758,85
11,0,8,28
12,-0.000929652189370245,17,97
13,-0.00616090791299939,32.6465911865234,112
14,-0.000666355830617249,18.4126873016357,112
15,-0.00088759051868692,18,38
16,-0.00206971727311611,25,99
17,-0.00726490607485175,26.1263790130615,105
18,0.00557994702830911,16.3186092376709,112
19,0.00186561967711896,17,112
20,-0.00243049720302224,22.3376178741455,112
21,0.00181978964246809,20.9618663787842,111
22,-0.00306032248772681,27.1955871582031,112
23,-0.00392979336902499,27.3579063415527,91
24,0.00184884236659855,24.1739940643311,112
25,0.00240692566148937,24.0831909179688,89
26,-0.00132227933499962,22.7857666015625,112
27,-0.000314112228807062,29.9838886260986,112
28,-0.0112687926739454,39.3203926086426,81
29,-0.000968593929428607,18.3777675628662,112
30,-0.00537258153781295,24.9594078063965,86
31,-0.00154785497579724,19.2301826477051,107
32,-0.00607568165287375,22,111
33,-0.000310473493300378,36.2488784790039,112
34,-0.00161443010438234,22.5533561706543,112
35,0.00252820341847837,19.6773986816406,112
36,-0.00803001970052719,21.4580097198486,93
37,-0.00206825695931911,23.3446578979492,112
38,0.00145308172795922,21.510196685791,112
39,0.00123526086099446,20.5060958862305,112
40,2.84640555037186e-05,24.9594078063965,112
41,0.00295120617374778,24.1294593811035,112
42,-0.000128446583403274,29,112
43,0.00150402809958905,26.4193954467773,112
44,-0.000350273796357214,20.5912590026855,112
45,0.002625263761729,21.1891918182373,112
46,-0.00757534429430962,26.2293300628662,74
47,-0.00161839521024376,39.3899955749512,112
48,0.000149958184920251,33.6112976074219,112
49,-0.0022287922911346,32.6465911865234,112
50,0.00235271314159036,20.5952796936035,112
51,-0.00201580347493291,33.234016418457,112
52,-0.00230313604697585,16.2634544372559,88
53,0.000807252654340118,21.0190372467041,112
54,-0.00162056367844343,33.4699172973633,112
55,0.00401646178215742,19.1603145599365,112
56,0.00101089628878981,21.4685382843018,102
57,0.00144499540328979,24.1656894683838,112
58,-0.00589580601081252,26.9256801605225,112
59,-0.00325633166357875,19.2301826477051,103
60,-0.0460194535553455,28.6106281280518,14
61,0.00744085106998682,20.0550956726074,112
62,0.00175258237868547,22.1880073547363,112
63,0.00321863102726638,15.4951591491699,112
64,0.00595800951123238,18,112
65,0.000733334745746106,29,109
66,-0.00411729281768203,37.6771697998047,30
67,0.00037734565557912,20.5992431640625,112
68,0.0034043719060719,16.3685417175293,112
69,-0.000598341866862029,17.7087516784668,111
70,-0.0036800850648433,25.9997730255127,43
71,0.00314821093343198,21.7910270690918,112
72,-0.000652152521070093,17.0762958526611,89
73,-0.000303418870316818,18.3671264648438,112
74,0.00108804344199598,18.3530521392822,98
75,-0.0031280517578125,27.2800273895264,54
76,-0.00501158973202109,24.7487392425537,86
77,-0.000770141661632806,31.3863086700439,112
78,0.00107366126030684,33.2391929626465,112
79,-0.00243810540996492,34.6294746398926,99
80,-0.00311769754625857,20.6005630493164,21
81,0.00131320243235677,21.5160942077637,112
82,-0.00189439742825925,23.3704414367676,112
83,0.00405525043606758,18.3847770690918,112
84,-0.000242554000578821,30.7535552978516,112
85,-0.000121525357826613,25.4927062988281,112
86,-0.0011693750275299,22.1766738891602,112
87,0.00334861176088452,19.3084831237793,112
88,0.000733423803467304,18.4541244506836,112
89,0.00132879475131631,33.143627166748,112
90,0.00143080949783325,22.6870613098145,112
91,0.00540241785347462,13,96
92,-0.000154517940245569,32.6496353149414,112
93,-0.000740747258532792,20.5246257781982,103
94,0.00234509934671223,19,112
95,0.00589181715622544,22,112
96,0.00194620946422219,23,112
97,0.0023594640661031,23.3238067626953,112
98,-0.00103860523086041,22.7427082061768,112
99,0.000867334136273712,22.8078899383545,112
100,-0.00162271619774401,26.0768089294434,109
101,-0.00268628913909197,32.2296562194824,112
102,0.004375203512609,19.3255214691162,112
103,-0.0013023444917053,19.9223480224609,112
104,0.00215418566949666,22.4240474700928,112
105,0.00291707227006555,22.1233177185059,95
106,0.00178465479984879,26.4014091491699,104
107,0.0025330726057291,21.9134674072266,112
108,0.00440717861056328,8,91
109,0.000313880911562592,18.3357563018799,112
110,0.00206140102818608,22.8035049438477,112
111,0.00203045783564448,26.2486152648926,112
112,0.00280589866451919,20.1246089935303,112
113,-0.00450494699180126,19.9223461151123,102
114,-0.000162608572281897,29.4091796875,112
115,0.000718440336640924,26.4096622467041,112
116,0.00165542645845562,17.8358535766602,93
117,7.98601759015583e-05,20.3416976928711,87
118,0.00210411357693374,20.7414417266846,112
119,-0.172017782926559,45.5405197143555,3
120,-0.0516924858093262,15,4
121,-0.00278905197046697,31.2889041900635,101
122,NaN,16.9941158294678,1
123,0.00477748643606901,15.5493087768555,110
124,0.00928142294287682,21.5255279541016,6
125,0.00311094685457647,17.3352890014648,109
126,0.00336374645121396,18.0249805450439,109
127,0,17.8885440826416,2
128,0.00416536442935467,17.0327091217041,107
129,0.00234265485778451,7,38
130,0.00237769144587219,21.2486438751221,106
131,3.18642487400211e-05,18.7829704284668,91
132,0.00766788376495242,11.3137073516846,97
133,NaN,6,1
134,-0.000702026416547596,23.0035991668701,82
135,0.00150488433428109,18.3847751617432,104
136,0.00260823965072632,16.9705619812012,104
137,0.0075697610154748,7.56235361099243,66
138,0.000676625757478178,19.6918563842773,103
139,-0.00102088565472513,20.1304569244385,49
140,0.00108451780397445,14,102
141,0.000241909714532085,17.8465709686279,84
142,-0.00863207876682281,15,44
143,-0.000354328076355159,20.2368316650391,96
144,0.00111011310946196,16.7349586486816,101
145,-0.00355786876752973,11.1417207717896,40
146,-0.0004656950768549,16.6206512451172,50
147,0.00542783224955201,16.3982448577881,97
148,-0.0007530307630077,18.5322017669678,97
149,0.00134590803645551,18.3847751617432,86
150,-0.00618861149996519,17.8885440826416,74
151,0.000278083811281249,27.2946033477783,96
152,0.0041248188354075,17.6776695251465,95
153,-0.0513835735619068,7,2
154,-0.0120669202879071,20,58
155,NaN,27.5357112884521,1
156,-0.00251273368485272,23.6120948791504,93
157,0.00434817047789693,18,93
158,0.00525680836290121,16.5521183013916,92
159,0.00917883589863777,7,58
160,NaN,30.6884365081787,1
161,-0.00286574242636561,20.5060958862305,91
