TimeStep,Cell_lable,Orientation,Center_X,Center_Y
1,1,90,261.5,201.5
1,2,87.1375961303711,244.851638793945,207.032409667969
1,3,90,262.5,244.5
1,4,7.43140935897827,229.93212890625,246.186798095703
1,5,16.3895416259766,242.891723632813,260.968139648438
1,6,63.4349517822266,229.700012207031,286.399993896484
1,7,9.46232128143311,252.756759643555,286.95947265625
2,1,87.6140594482422,261.039825439453,200.956665039063
2,2,85.0302581787109,245.413726806641,217.007507324219
2,3,90,263.5,250.5
2,4,4.23639488220215,231.507522583008,257.648712158203
2,5,13.2405204772949,244.38850402832,277.473785400391
2,6,62.5924263000488,229.248107910156,300.871368408203
2,7,15.9453954696655,255.537750244141,298.867919921875
3,1,86.633544921875,264.55859375,197.49658203125
3,2,84.0938491821289,249.482955932617,211.501754760742
3,3,14.036244392395,267.411804199219,250.352981567383
3,4,6.91122722625732,234.76921081543,252.653823852539
3,5,90,247.5,278.5
3,6,69.8636932373047,233.411361694336,301.349151611328
3,7,22.9321002960205,261.217071533203,300.668762207031
4,1,82.8749847412109,262.684631347656,195.976928710938
4,2,88.0250701904297,244.809371948242,181.472091674805
4,3,19.7988777160645,265.645904541016,253.872512817383
4,4,12.2004690170288,231.451858520508,246.097717285156
4,5,86.633544921875,244.943099975586,276.532775878906
4,6,70.5599670410156,230.938461303711,299.492309570313
4,7,29.7448825836182,262.946166992188,297.46923828125
4,8,82.8749847412109,251.223114013672,227.784637451172
5,1,86.5663681030273,260.327026367188,201.950393676758
5,2,4.89909267425537,242.992706298828,183.585098266602
5,3,29.0546054840088,272.599060058594,244.221725463867
5,4,14.9314165115356,223.184661865234,238.182601928711
5,5,77.6192398071289,239.511642456055,274.997467041016
5,6,75.9637603759766,228.852996826172,297.411773681641
5,7,30.650671005249,262.582733154297,299.141632080078
5,8,75.9637603759766,247.705917358398,237.323532104492
5,9,26.5650501251221,259.000061035156,272.500030517578
6,1,10.3048458099365,260.7080078125,187.855987548828
6,2,9.92624473571777,244.975738525391,185.495742797852
6,3,23.6293773651123,278.396728515625,244.736083984375
6,4,90,226,214
6,5,81.8698959350586,234.369964599609,257.089965820313
6,6,75.0685806274414,228.964752197266,295.742767333984
6,7,26.5650501251221,279.100006103516,278.800018310547
6,8,76.3286972045898,247.474472045898,246.506195068359
6,9,26.5650501251221,262.500030517578,278
6,10,75.2564392089844,260.335510253906,229.174896240234
6,11,23.4985656738281,215.798065185547,249.064361572266
6,12,73.6104583740234,244.487243652344,294.356689453125
6,13,30.9637546539307,260.985290527344,312.691162109375
7,1,90,263.5,191
7,2,90,247.5,190.999984741211
7,3,90,279.5,243.5
7,4,9.46232223510742,230.810821533203,204.635131835938
7,5,69.1455383300781,234.166351318359,260.936645507813
7,6,73.7798080444336,227.952606201172,291.368347167969
7,7,11.3099327087402,293.115386962891,263.923095703125
7,8,69.9047698974609,247.398208618164,253.48844909668
7,9,26.5650501251221,268.600036621094,285.800018310547
7,10,90,263,240.5
7,11,33.1113433837891,214.12532043457,243.407836914063
7,12,80.1341857910156,248.506408691406,305.411926269531
7,13,36.8698921203613,275.160003662109,304.120025634766
8,3,6.58194494247437,299.918243408203,232.875183105469
8,6,24.6235637664795,264.532257080078,292.202301025391
8,7,90,317,246.5
8,8,11.8886575698853,282.310394287109,247.275909423828
8,12,69.775146484375,275.546325683594,325.482940673828
8,13,66.8014068603516,286.301727294922,311.870697021484
8,14,69.4439544677734,303.712310791016,274.23291015625
8,15,1.6846843957901,320.824127197266,299.980102539063
8,16,90,337.5,293
8,17,3.36646056175232,351.38623046875,313.934478759766
8,18,67.0679016113281,299.124877929688,304.158752441406
8,19,35.5376739501953,325.479736328125,340.628387451172
8,20,38.1572265625,332.389556884766,357.413238525391
8,21,80.5376739501953,303.324310302734,360.445922851563
8,22,80.9097213745117,288.3955078125,366.096710205078
9,6,36.1581840515137,252.976379394531,288.348114013672
9,7,90,278.5,258.5
9,8,90,247.5,249.5
9,12,39.4006614685059,259.361358642578,304.886138916016
9,23,88.315315246582,264.43994140625,239.457641601563
9,24,8.13010215759277,226.329971313477,180.190002441406
9,25,22.2490253448486,207.187622070313,191.485855102539
9,26,90,243,193
9,27,72.6459732055664,229.540939331055,225.330978393555
9,28,26.5650501251221,187.800033569336,237.400024414063
9,29,67.2490234375,210.321670532227,258.074768066406
9,30,67.8905487060547,223.86003112793,250.463134765625
9,31,69.4439544677734,199.445190429688,271.020568847656
9,32,79.5625228881836,228.836242675781,309.753845214844
9,33,79.5085296630859,214.411834716797,315.423767089844
10,6,33.2748832702637,274.266906738281,293.331420898438
10,7,86.8201675415039,299.473846435547,259.529235839844
10,8,90,267,256
10,12,37.9987335205078,281.009704589844,309.507568359375
10,23,85.3645401000977,283.386077880859,239.428176879883
10,24,90,246,186
10,25,14.6208744049072,228.384063720703,191.361083984375
10,26,83.5169219970703,264.221313476563,191.74755859375
10,27,90,252,233.5
10,28,35.9097213745117,209.097122192383,238.794464111328
10,29,72.0720825195313,229.346115112305,264.888031005859
10,30,86.9872131347656,236.237579345703,231.013809204102
10,31,75.9637603759766,216.617660522461,275.470581054688
10,32,81.6743469238281,249.359649658203,319.874206542969
10,33,80.5376739501953,234.162139892578,320.972991943359
10,34,66.0375137329102,250.185577392578,275.917510986328
11,6,32.1522941589355,269.114379882813,291.886169433594
11,7,84.5596694946289,294.901123046875,251.961807250977
11,8,2.20259809494019,261.384826660156,256.495574951172
11,12,38.6598091125488,267.51220703125,320.109771728516
11,23,87.5104446411133,278.716064453125,231.468872070313
11,24,81.3843536376953,241.740585327148,181.887786865234
11,25,1.97493398189545,224.310546875,183.993469238281
11,26,81.085075378418,258.602661132813,186.591751098633
11,27,90,247,234.5
11,28,39.1736602783203,203.434875488281,233.261764526367
11,29,78.690071105957,221.211547851563,262.557678222656
11,30,3.81407499313354,231.573043823242,227.904907226563
11,31,81.6341094970703,207.740905761719,273.038146972656
11,32,75.9637603759766,243.735321044922,322.441162109375
11,33,73.0091781616211,227.703247070313,321.937927246094
11,34,68.9624862670898,241.73454284668,277.409790039063
11,35,30.9637546539307,287.132354736328,292.779418945313
12,6,24.5377292633057,270.615386962891,295.509216308594
12,7,88.4518432617188,296.594879150391,251.010955810547
12,8,5.57219743728638,262.231597900391,257.876220703125
12,12,29.7448825836182,271.015411376953,329.723083496094
12,23,4.76364183425903,279.875915527344,242.989685058594
12,24,72.8014602661133,241.662185668945,176.985534667969
12,25,71.5650482177734,226.400009155273,177.700012207031
12,26,67.7509765625,253.298217773438,162.173431396484
12,27,3.27048826217651,249.253036499023,235.071594238281
12,28,34.9920234680176,214.79866027832,212.359069824219
12,29,87.2736892700195,219.338241577148,242.102951049805
12,30,90,234.5,229.5
12,31,85.6012878417969,207.576461791992,272.494110107422
12,32,63.4349517822266,238.800018310547,309.600036621094
12,33,69.1455383300781,229.288131713867,326.31884765625
12,34,68.5522689819336,242.654708862305,283.439239501953
12,35,23.6293773651123,287.867218017578,296.160675048828
12,36,84.2894058227539,262.806915283203,201.069305419922
12,37,33.6900634765625,195.692291259766,240.461532592773
12,38,79.3803482055664,280.469818115234,207.005661010742
12,39,84.2894058227539,223.1435546875,277.435638427734
12,40,81.8698959350586,251.5,343.5
13,6,6.34019184112549,279.500030517578,279.499969482422
13,7,3.0940580368042,297.741058349609,248.040054321289
13,8,85.2363510131836,260.882781982422,278.593139648438
13,12,33.6900634765625,277.230773925781,336.653869628906
13,23,10.0079793930054,280.298706054688,240.64094543457
13,24,55.3048477172852,233.306045532227,154.442001342773
13,25,62.7446708679199,226.484771728516,173.735122680664
13,26,57.0947570800781,251.373168945313,156.758544921875
13,27,14.3493328094482,251.480209350586,232.622833251953
13,28,19.6538238525391,215.158386230469,202.556549072266
13,29,14.036244392395,224.676498413086,218.794143676758
13,30,14.8264789581299,238.604721069336,224.660079956055
13,31,12.0114784240723,206.829605102539,268.2509765625
13,32,70.5599670410156,235.34309387207,300.555358886719
13,33,71.565055847168,220.900009155273,305.200012207031
13,34,66.8014068603516,246.724151611328,291.189697265625
13,35,13.2405204772949,291.080322265625,298.283569335938
13,36,78.690071105957,269.211547851563,197.557708740234
13,37,29.0546054840088,199.712280273438,237.617935180664
13,38,79.6951522827148,285.467987060547,199.824005126953
13,39,11.3099327087402,221.98078918457,267.096160888672
13,40,74.0546035766602,252.49055480957,338.716979980469
13,41,68.1985931396484,249.189651489258,184.724136352539
13,42,11.3099327087402,264.903839111328,237.980773925781
13,43,21.2505054473877,269.469146728516,318.793579101563
13,44,67.3801345825195,235.535491943359,336.485229492188
14,6,75.0685806274414,275.840270996094,280.275939941406
14,7,90,297.5,229
14,8,74.0546035766602,261.660400390625,285.311309814453
14,12,40.3645362854004,278.383911132813,337.401275634766
14,23,4.57392168045044,281.092987060547,238.087432861328
14,24,45,223.500015258789,146.5
14,25,48.9451904296875,217.807113647461,163.797027587891
14,26,45,253.250030517578,156.250015258789
14,27,7.59464263916016,256.648468017578,206.886459350586
14,28,17.5255680084229,214.143569946289,200.045349121094
14,29,16.6992435455322,225.816543579102,211.444961547852
14,30,14.036244392395,240.41178894043,212.852951049805
14,31,11.8886575698853,208.336898803711,268.649871826172
14,32,75.9637603759766,236.235321044922,299.441223144531
14,33,75.9637603759766,221.411773681641,303.647064208984
14,34,78.1113433837891,253.100830078125,306.978790283203
14,35,80.5376739501953,295.243225097656,300.45947265625
14,36,6.34019184112549,272.109771728516,197.512222290039
14,37,23.4985656738281,200.88395690918,239.166931152344
14,38,5.44033193588257,288.382019042969,194.988754272461
14,39,17.65012550354,224.449356079102,262.302062988281
14,40,72.2553253173828,250.562423706055,342.320068359375
14,41,41.6335334777832,249.362045288086,174.655151367188
14,42,6.34019136428833,265.103637695313,241.067077636719
14,43,39.2894096374512,271.636169433594,321.611389160156
14,44,69.775146484375,233.943908691406,341.204864501953
14,45,8.13010215759277,249.719970703125,241.959976196289
14,46,17.1027297973633,291.489196777344,261.53515625
14,47,74.0546035766602,240.915084838867,272.952819824219
15,6,77.47119140625,275.482330322266,286.170562744141
15,7,78.690071105957,297.134643554688,228.673065185547
15,8,76.9081115722656,261.205993652344,291.335815429688
15,12,36.1581840515137,279.550140380859,348.536651611328
15,23,1.84761035442352,280.821746826172,240.526519775391
15,24,39.4724578857422,214.495864868164,146.290725708008
15,25,32.47119140625,197.035308837891,151.658813476563
15,26,28.7397975921631,250.472427368164,151.726821899414
15,27,4.96974086761475,256.125732421875,201.554428100586
15,28,9.46232223510742,212.810806274414,202.135131835938
15,29,8.42696857452393,226.40202331543,212.911422729492
15,30,90,243,191.5
15,31,32.7352294921875,211.590255737305,254.415161132813
15,32,78.3106307983398,232.970947265625,296.109497070313
15,33,81.2538375854492,219.274551391602,302.534698486328
15,34,71.5650482177734,252.5,316.000030517578
15,35,80.5376739501953,293.95947265625,306.256774902344
15,36,11.3099327087402,271.923095703125,193.884613037109
15,37,32.0053825378418,200.365158081055,243.915740966797
15,38,13.4957342147827,288.178527832031,192.9228515625
15,39,40.6012916564941,225.37646484375,261.394104003906
15,40,75.579231262207,246.853363037109,343.151977539063
15,41,32.2756462097168,249.25048828125,168.395065307617
15,42,5.19442939758301,265.815612792969,243.028717041016
15,43,32.2756462097168,271.545532226563,333.344573974609
15,44,71.5650482177734,231.800003051758,343.900024414063
15,45,6.34019136428833,250.841445922852,241.426818847656
15,46,20.5560455322266,292.171203613281,264.376708984375
15,47,78.690071105957,242.634613037109,277.173095703125
15,48,45,223,174.000015258789
15,49,12.5288076400757,239.347045898438,225.188217163086
15,50,84.8055725097656,202.823806762695,293.061462402344
16,6,79.2156982421875,280.401550292969,297.233032226563
16,7,75.9637603759766,301.264739990234,228.058837890625
16,8,73.3007583618164,270.683532714844,318.944946289063
16,12,37.1847076416016,288.287902832031,358.097717285156
16,23,88.6360702514648,286.379302978516,246.931457519531
16,24,52.6960525512695,214.268280029297,149.414642333984
16,25,52.4314079284668,200.345718383789,156.34944152832
16,26,14.036244392395,236.294143676758,146.823547363281
16,27,12.8042669296265,256.283905029297,200.950897216797
16,28,4.96974086761475,212.025344848633,209.458724975586
16,29,4.51398801803589,227.480056762695,209.419494628906
16,30,10.0079803466797,243.10237121582,193.253372192383
16,31,50.1944274902344,218.827880859375,255.893432617188
16,32,77.2756423950195,237.217330932617,299.676727294922
16,33,78.690071105957,223.019241333008,305.596160888672
16,34,72.7585372924805,258.92138671875,327.024475097656
16,35,75.9637603759766,299.61767578125,312.470581054688
16,36,18.8531589508057,274.252502441406,194.903289794922
16,37,48.9909172058105,202.574279785156,249.935409545898
16,38,23.4985675811768,290.932403564453,194.905395507813
16,39,54.8658103942871,227.950927734375,267.2197265625
16,40,81.1193466186523,249.720230102539,350.809356689453
16,41,27.7585411071777,251.32536315918,168.381790161133
16,42,90,271.5,248.5
16,43,35.5376777648926,277.189178466797,347.635131835938
16,44,79.5085296630859,234.336227416992,350.715545654297
16,45,90,256.5,244.5
16,46,15.2551202774048,299.684631347656,267.823089599609
16,47,81.8698959350586,247.589981079102,284.130004882813
16,48,77.0053787231445,221.491546630859,176.963470458984
16,49,90,242,231
16,50,67.8336563110352,202.277648925781,289.090606689453
16,51,30.9637546539307,264.735290527344,158.941162109375
16,52,81.4692306518555,262.842315673828,284.948638916016
17,6,80.7889709472656,279.381500244141,303.019226074219
17,7,69.1455383300781,300.438629150391,224.213882446289
17,8,72.6459732055664,269.613891601563,324.964416503906
17,12,40.1559982299805,288.949249267578,360.800903320313
17,23,11.3099327087402,287.403839111328,260.980773925781
17,24,59.3493309020996,206.843154907227,143.204055786133
17,25,62.2414588928223,194.63883972168,152.163772583008
17,26,21.8014068603516,227.25862121582,139.603439331055
17,27,11.76828956604,254.178863525391,196.14143371582
17,28,3.81407499313354,208.867294311523,206.991165161133
17,29,2.72631096839905,224.765853881836,208.917419433594
17,30,11.3099327087402,240.826950073242,189.365386962891
17,31,59.4207763671875,214.0673828125,254.460205078125
17,32,80.7538833618164,235.778182983398,299.2802734375
17,33,80.5376739501953,220.918914794922,302.013488769531
17,34,77.1957321166992,257.296691894531,331.205291748047
17,35,77.47119140625,296.5,311.999969482422
17,36,12.9946165084839,266.719055175781,205.050552368164
17,37,58.6713027954102,195.133087158203,248.397216796875
17,38,20.5560417175293,288.773986816406,188.102752685547
17,39,63.4349517822266,224.70002746582,265.900024414063
17,40,6.00900554656982,243.717819213867,358.180816650391
17,41,18.4349479675293,245.850006103516,161.449996948242
17,42,86.054817199707,271.370452880859,248.371017456055
17,43,43.0908432006836,271.853790283203,357.863220214844
17,44,3.57633447647095,229.188705444336,350.480560302734
17,45,85.0302581787109,255.49250793457,243.413681030273
17,46,13.1340217590332,301.841918945313,265.963104248047
17,47,87.3974456787109,247.091751098633,285.5185546875
17,48,77.47119140625,218.988235473633,173.447067260742
17,49,85.2363510131836,239.827606201172,230.931060791016
17,50,60.0183601379395,197.230850219727,286.366790771484
17,51,23.9624900817871,259.123718261719,151.221649169922
17,52,86.633544921875,261.968994140625,288.472412109375
17,53,26.5650501251221,277.400024414063,171.199981689453
17,54,67.3801345825195,285.642028808594,229.940811157227
18,6,77.0053787231445,277.426940917969,298.016845703125
18,7,69.775146484375,300.106079101563,219.645111083984
18,8,78.690071105957,269.269226074219,325.34619140625
18,12,39.8055686950684,278.196716308594,378.663940429688
18,23,14.9314184188843,289.939849853516,264.850646972656
18,24,55.0079803466797,201.838912963867,134.912750244141
18,25,57.7243537902832,191.026718139648,145.667327880859
18,26,21.0375118255615,223.819595336914,131.96907043457
18,27,25.6410064697266,254.967483520508,187.984405517578
18,28,90,208,202
18,29,78.690071105957,225.11540222168,223.576934814453
18,30,23.6293773651123,241.341018676758,181.649185180664
18,31,71.5650482177734,214.200012207031,251.600006103516
