TimeStep,CellLifeId,Orientation,lable,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis
1,1,86.22144580445327,1.0,195.2941176470588,59.02768166089965,False,34.70044831380341,10.721619822665168
1,2,-61.24878954428036,2.0,329.4609929078014,83.87234042553192,False,30.526480270782116,11.884400568662004
1,3,6.003929773864415,3.0,44.38148148148148,139.07777777777778,False,29.523664750419545,11.69497430926675
1,4,10.520067084677828,4.0,46.61742424242424,166.12121212121212,False,29.128759140488043,11.663164005042924
1,5,-36.25064830801663,5.0,116.63247863247864,171.76495726495727,False,27.90333325118808,10.728982129688733
1,6,58.45946028053611,6.0,232.26699029126212,193.7038834951456,False,26.21585505635657,10.06633368863054
1,7,80.38168037056604,7.0,281.2754237288136,223.7415254237288,False,27.623903976668853,11.00662192829826
1,8,64.62557645278923,8.0,147.82162162162163,298.38378378378377,False,21.96320608473551,11.2728062782374
1,9,-72.19611258833885,9.0,131.54509018036072,290.03206412825654,False,44.42462575255881,20.57234265446345
2,1,86.32238452104798,1.0,195.28082191780825,59.16438356164384,False,35.61727842174514,10.607067073327588
2,2,-60.4110640795064,2.0,329.25088339222617,84.02120141342756,False,30.81148863475977,11.811165093625416
2,3,6.88390582789829,3.0,44.31046931407942,139.06859205776172,False,30.222045651621627,11.710695260497898
2,4,12.080370858460766,4.0,46.51481481481481,166.46296296296296,False,29.46589890911965,11.823476696944631
2,5,-35.67584316128318,5.0,116.43722943722943,171.99134199134198,False,27.88824361541341,10.586268098823473
2,6,58.6127069494561,6.0,232.09134615384616,193.86057692307693,False,26.78887785496554,9.94155790445315
2,7,81.12344207827567,7.0,281.2780082987552,223.8340248962656,False,28.371054320616437,10.948923426277693
2,8,71.05784648906372,8.0,146.27314814814815,298.22685185185185,False,26.33227639847477,11.450440664727326
2,9,-71.12683299818531,9.0,131.62630480167016,289.7306889352818,True,46.87927392736876,19.422761206880928
3,1,86.12084723703713,1.0,195.50865051903116,59.32179930795848,False,35.96239630678603,10.44657948033942
3,2,-61.24440816527837,2.0,329.25435540069685,84.07317073170732,False,31.177158406126765,11.820663907076506
3,3,7.904317813698165,3.0,44.35507246376812,138.95652173913044,False,30.032436910127014,11.76112685076718
3,4,12.967628398787031,4.0,46.52857142857143,166.40714285714284,False,30.462904926036565,11.840745762068837
3,5,-34.320358702099696,5.0,116.35622317596568,172.27896995708156,False,28.454029676240022,10.482070599585471
3,6,58.49394779074842,6.0,232.2153110047847,193.9712918660287,False,26.88164146514982,9.960228733555976
3,7,81.13906450968008,7.0,281.33613445378154,223.9705882352941,False,28.55678994498781,10.713961247233614
3,10,-69.3478899257576,9.0,143.94059405940595,284.83168316831683,False,26.753794637562784,10.24462987704788
3,11,-81.43750178056374,9.0,122.9009900990099,289.05445544554453,False,24.69181169624849,10.587272523181406
3,8,72.91567133962067,8.0,145.93150684931507,298.1689497716895,False,26.7819185388552,11.330074579063652
3,12,85.0584893046582,9.0,127.49612403100777,297.9767441860465,False,16.428275187086392,10.359159377413336
4,1,86.45012323113805,1.0,196.05172413793105,59.706896551724135,False,36.2596932118508,10.362234729378695
4,2,-61.19824562298655,2.0,329.25,84.3556338028169,False,31.259516340174564,11.685522072943956
4,3,9.782555291924616,3.0,44.53068592057762,138.81949458483754,False,30.22752386325242,11.762946824731316
4,4,13.772330875920858,4.0,46.70877192982456,166.72982456140352,False,30.9990964298879,11.837993967337036
4,5,-33.75585689197971,5.0,116.46351931330472,172.51502145922746,False,28.701138315630743,10.397094976837897
4,6,59.29755682618631,6.0,232.2761904761905,194.17619047619047,False,27.42912905399233,9.8436334603766
4,7,80.43965428147965,7.0,281.5163934426229,224.29098360655735,False,29.144688903403733,10.760364422502477
4,10,-70.09504804097895,9.0,144.91542288557213,284.81592039800995,False,27.01659632585711,9.912760763441938
4,11,-82.61732089385822,9.0,123.39150943396228,289.32547169811323,False,25.48101759973386,10.809001323664596
4,8,63.19000698829863,8.0,148.72254335260115,299.11560693641616,False,19.30436093769336,11.852665931512956
4,12,-81.93464167772645,9.0,130.17142857142858,297.6742857142857,False,22.83944169733541,10.046078374625525
5,1,85.99789806768986,1.0,196.0234899328859,59.79865771812081,False,36.92524290061761,10.414393544250435
5,2,-60.37145869164268,2.0,329.01023890784984,84.47098976109216,False,32.01061813799154,11.776128277512823
5,3,10.766310421689992,3.0,44.57142857142857,138.85365853658536,False,30.98611619415608,11.880095361512184
5,4,14.52387322457122,4.0,46.638888888888886,166.79861111111111,False,31.130673405115644,11.86176164797659
5,5,-33.92530361594533,5.0,116.32765957446809,172.6468085106383,False,29.13044519138807,10.33200324544101
5,6,58.91717369557889,6.0,232.3474178403756,194.34272300469485,False,27.684639471140013,9.85548008079792
5,7,80.85584742029772,7.0,281.5,224.372,False,29.5190656780748,10.927150474552215
5,10,-73.6167979825796,9.0,141.3181818181818,285.45454545454544,True,36.832740845393786,10.44685927418552
5,11,89.37162743866901,9.0,119.56115107913668,290.0863309352518,False,17.552160463844142,10.78642201290366
5,8,62.00560887623355,8.0,148.6497175141243,299.06779661016947,False,19.7977678930063,11.804448847099746
5,12,-81.79380806741383,9.0,129.8779069767442,297.77906976744185,False,22.675724902717675,9.9136472725994
6,1,85.7029653974878,1.0,196.04713804713805,60.14478114478114,False,37.14367911155242,10.417047825117768
6,2,-59.8000391530372,2.0,329.29010238907847,84.7098976109215,False,32.076912778498354,11.713141276012427
6,3,12.688309131899029,3.0,44.53424657534247,138.52397260273972,False,31.290455986120328,11.98411990887887
6,4,15.601162059974731,4.0,46.84353741496599,166.89455782312925,False,31.64243807660382,11.97429805829958
6,5,-33.31628737183582,5.0,116.52719665271968,173.0460251046025,False,29.41476847173856,10.419533216385007
6,6,60.36274564763925,6.0,232.51162790697677,194.62325581395348,False,27.732819318584227,9.931107326441245
6,7,79.97580336713607,7.0,281.484,224.46,False,29.625586137635107,10.901327900836783
6,13,-69.72286250197808,9.0,145.58333333333334,284.6712962962963,False,28.543816912377427,10.070286339737754
6,14,31.0227027241046,9.0,130.08641975308643,288.2716049382716,False,11.245499225586292,9.282503500338224
6,11,88.44466022850415,9.0,119.36428571428571,290.42857142857144,False,17.143223763370525,10.981379481902025
6,8,63.8917892831215,8.0,148.7159090909091,299.28977272727275,False,19.62382994135645,11.908649752536585
6,12,-78.93564846492,9.0,129.5054945054945,298.1758241758242,False,23.38721134355749,10.12527818202936
7,1,85.61846221942439,1.0,196.17377049180328,60.28852459016394,False,37.89143277411261,10.533847600745156
7,2,-60.41549510185453,2.0,329.26174496644296,84.72147651006712,False,32.40458966368168,11.810919269372608
7,3,14.063211683940867,3.0,44.36986301369863,138.55479452054794,False,31.377031525515065,11.937560437764787
7,4,16.42489221227723,4.0,46.85284280936455,167.08361204013377,False,32.32088454335392,11.968146519137534
7,5,-32.08789870238604,5.0,116.45867768595042,172.9917355371901,False,29.56834795274721,10.471453009696736
7,6,60.059442263599536,6.0,232.43636363636364,194.62272727272727,False,28.37652747901959,9.93769652381216
7,7,80.25849558165592,7.0,281.488188976378,224.55905511811025,False,29.75442123421556,11.030480633727354
7,13,-70.15268841772745,9.0,145.83856502242153,284.6547085201794,False,29.288096939944094,10.00490004671955
7,14,23.143375410557333,9.0,129.9620253164557,288.8101265822785,False,11.35922033838444,8.977530704137884
7,11,-87.40466401818433,9.0,119.20422535211269,290.49295774647885,False,17.1098451478099,11.185718076238487
7,8,69.67909825374964,8.0,146.80841121495328,298.6588785046729,False,25.680536167896893,11.525072454238552
7,12,-85.71469406938995,9.0,127.43055555555556,298.90972222222223,False,19.04577444199705,9.8345096900071
8,1,85.79565127670458,1.0,196.13183279742765,60.334405144694536,False,38.77961001272587,10.47692028186019
8,2,-60.16356317003224,2.0,329.21016949152545,84.88813559322034,False,32.50281452057802,11.640479733939191
8,3,16.260281187996803,3.0,44.41666666666666,138.26333333333332,False,32.119999265003145,12.024074115178612
8,4,17.042243184234508,4.0,46.932038834951456,166.94174757281553,False,32.99334842467122,12.074609872695955
8,5,-32.139031949740435,5.0,116.38367346938776,173.1469387755102,False,29.98834791651058,10.449796547327974
8,6,60.36206328927767,6.0,232.4343891402715,194.71945701357467,False,28.53442101543615,9.917616818983063
8,7,80.41657938342071,7.0,281.5546875,224.6171875,False,30.19327736874705,10.970342912092905
8,15,61.04496349938849,12.0,267.3941908713693,255.0622406639004,False,28.21581329538244,11.118011108945543
8,16,45.61176473020552,13.0,286.2157894736842,265.44736842105266,False,22.8252145572972,11.04389360477156
8,13,-72.86765487512437,9.0,142.20677966101695,285.7932203389831,False,38.586411720671634,10.27083597111301
8,11,-85.49969460463677,9.0,119.38095238095238,290.4761904761905,False,17.415967139220687,11.21038584247235
8,8,69.70119379351301,8.0,147.13744075829385,298.7962085308057,False,25.24734673780466,11.628246742709718
8,12,-84.02116798158518,9.0,127.55629139072848,298.9271523178808,False,19.68381495253198,10.05882859718982
9,1,85.49982948335769,1.0,196.3427672955975,60.4245283018868,False,38.96620558076536,10.663094867262023
9,2,-59.68116280859433,2.0,329.2126245847176,84.97674418604652,False,32.72240473312596,11.804917685081492
9,17,-13.509772828649265,14.0,241.83009708737865,102.97087378640776,False,24.765221397380945,10.824038990728818
9,18,-13.79836925133305,15.0,236.9575471698113,124.65566037735849,False,26.872296565196358,10.433570117332993
9,3,16.668176728725697,3.0,44.44551282051282,138.4198717948718,False,33.243201204537414,12.109367426100754
9,4,18.81047067727993,4.0,46.92131147540984,167.272131147541,False,32.64405547051179,12.069459409880343
9,5,-31.485301696138137,5.0,116.34,173.444,False,30.37899324554051,10.558077163357169
9,6,60.07129343031302,6.0,232.54054054054052,194.88288288288288,False,28.81107681088955,9.874001901157198
9,7,80.85013365599636,7.0,281.6807692307692,224.62307692307687,False,30.377804259007117,11.032502390353944
9,15,62.05048925714755,12.0,266.5486725663717,254.6637168141593,False,26.22444287229635,11.15091090744168
9,16,47.38434274742637,13.0,285.69565217391306,265.19323671497585,False,24.209295710529247,11.195434745503432
9,13,-69.81904461019235,9.0,146.52608695652174,284.8521739130435,False,29.95276745817809,10.06940571365436
9,11,-82.29256422014707,9.0,122.7136563876652,290.1321585903084,False,26.357537459314763,11.081074124363862
9,8,68.68801734347527,8.0,147.2186046511628,298.7953488372093,False,25.587151349789245,11.561471164808722
9,12,-82.26128281409035,9.0,127.26875,299.25625,False,20.714978948119043,10.004168989925391
10,1,85.4045399862629,1.0,196.7737003058104,60.65137614678899,False,39.619034886247576,10.726337256142935
10,2,-59.45715485623669,2.0,329.23026315789474,85.07236842105263,False,33.25253806787881,11.759419522295053
10,17,-14.28156107203556,14.0,241.78817733990147,102.86206896551724,False,24.67396239686188,10.675042384744785
10,18,-12.621241417720162,15.0,236.6398104265403,124.96682464454976,False,27.271715896544727,10.152343105715614
10,3,20.67166800962661,3.0,44.06493506493506,137.78246753246754,False,33.37533194126524,11.83063504289761
10,4,18.366880525295088,4.0,47.046875,166.996875,False,33.91296451367936,12.23010733370418
10,5,-30.98936414753628,5.0,116.5472440944882,173.48031496062993,False,30.512207248185018,10.65653423758549
10,6,59.94112310965669,6.0,232.7654867256637,195.10619469026548,False,29.136238953463124,9.937935493313905
10,7,81.30873725935832,7.0,282.1015037593985,225.0563909774436,False,31.05946179106544,11.067637607086816
10,15,61.56143082813127,12.0,266.04741379310343,254.6336206896552,False,26.774086218758235,11.184924153331576
10,16,48.097809084268775,13.0,285.7877358490566,265.2877358490566,False,24.876380560803987,11.123124379473166
10,13,-69.95679837182637,9.0,146.5021459227468,284.8969957081545,False,30.73000599769121,9.902264360743771
10,11,-83.14189135883348,9.0,122.29004329004329,290.3073593073593,False,26.52023798494826,11.266218738654958
10,8,70.84000100891781,8.0,146.83982683982683,298.7142857142857,False,27.701066818587087,11.560834845372156
10,12,-86.3103604336752,9.0,126.59210526315788,299.64473684210526,False,19.975188713285917,9.867270494131043
11,1,85.91606131729827,1.0,196.80124223602485,60.77950310559006,False,40.08942616491683,10.470869754941486
11,2,-59.71031098787739,2.0,329.12709030100336,85.27759197324414,False,33.23787942008841,11.566277687182112
11,17,-15.763926784367817,14.0,241.68446601941747,103.3009708737864,False,24.857469891459186,10.715916121832146
11,18,-12.76359117213871,15.0,236.60765550239236,125.52153110047848,False,27.14106912017804,10.134603304641317
11,4,8.89404905159933,4.0,45.46065573770492,152.82131147540983,False,68.89389111327927,13.64639128734572
11,5,-31.69686862184064,5.0,116.58232931726909,173.68273092369478,False,30.6172167098569,10.402326752766506
11,6,60.38142927404767,6.0,232.79017857142856,195.12946428571428,False,29.230794641087755,9.806094874687467
11,7,80.92740609776335,7.0,282.19172932330827,225.0639097744361,False,31.86683209873736,10.820562888070723
11,15,64.06790695098168,12.0,265.02369668246445,254.18957345971563,False,23.843946186360228,11.319603395254918
11,16,51.94486069059264,13.0,285.11489361702127,265.02553191489363,False,26.902918167382158,11.26974267716102
11,13,-70.44542741294194,9.0,146.66666666666666,284.982905982906,False,31.060169861729065,9.862974545790165
11,11,-83.65808297058372,9.0,121.8034188034188,290.35470085470087,False,27.142278430950924,11.13777478451394
11,8,65.1066478016338,8.0,148.83510638297872,299.40425531914894,False,20.483707777798703,12.228578500863987
11,12,-76.30623467017915,9.0,128.21025641025642,298.8666666666667,False,25.16170934956229,10.03323700527768
12,2,-59.39342373188233,2.0,329.14375,85.221875,False,33.65298907096507,12.19048995485848
12,17,-16.66181393618284,14.0,241.58035714285717,103.63839285714286,False,26.41174880226096,10.967929697026689
12,18,-13.869571503824885,15.0,236.0995475113122,126.46153846153848,False,27.580576807647507,10.509989331505038
12,4,9.940614244152435,4.0,45.37806873977087,151.93453355155484,False,70.85763365638181,13.74739161454241
12,5,-30.01452003711613,5.0,116.53903345724908,173.6988847583643,False,31.20459672454145,11.033351360318076
12,6,61.18530450116404,6.0,232.6875,195.125,False,30.000405795500644,10.267902355006989
12,7,80.96757331757908,7.0,282.19081272084804,225.1095406360424,False,32.42666796564028,11.321432279715149
12,15,63.61679683592677,12.0,264.30516431924883,254.12206572769952,False,23.998136497708845,11.344147313793332
12,16,52.88507210203662,13.0,285.1120331950208,264.95435684647305,False,27.764898320649998,11.186680725842438
12,13,-70.31149625230907,9.0,146.32411067193675,285.3201581027668,False,31.23742205064501,10.642664937816306
12,11,-81.25517274082335,9.0,120.99574468085106,290.6170212765957,False,27.299949651431064,11.07074707257995
12,8,70.51670847926631,8.0,146.32510288065845,298.6502057613169,False,28.32204205157278,11.719948834013762
12,12,-80.63458170132286,9.0,125.73248407643312,299.62420382165607,False,19.922386729241552,10.250351340152587
13,2,-59.15245817874171,2.0,329.1521739130435,85.32919254658385,False,34.06802503427602,12.133754944888256
13,17,-17.181938523514688,14.0,241.57142857142856,103.70982142857144,False,26.50799497383857,10.900728580668265
13,18,-14.298584606902198,15.0,236.0,126.83783783783784,False,27.884225942772662,10.424961828881717
13,4,23.95786361083628,4.0,43.59133126934984,137.09597523219813,False,36.11496020836099,11.460999232511307
13,5,-30.507214128892244,5.0,116.51301115241635,173.90706319702602,False,31.67457266063237,10.89117610070475
13,6,61.22663066871056,6.0,232.6875,195.1875,False,30.30243224232006,10.167149725116436
13,7,81.32884561226511,7.0,282.2544802867383,225.2688172043011,False,32.837040422123295,10.998640897012969
13,15,64.2383196741248,12.0,264.3785046728972,254.2009345794393,False,24.473478609770773,11.15977165524625
13,16,53.29716972657751,13.0,285.48547717842325,265.0539419087137,False,27.721937156586478,11.204265095200508
13,13,-71.39206643272101,9.0,146.16538461538462,285.6307692307692,True,31.965907986795827,10.715564853520268
13,11,-80.62618074020067,9.0,120.55555555555556,290.7649572649573,False,27.666236321662645,10.943752637956576
13,8,71.39175453024141,8.0,146.96943231441048,298.6768558951965,False,26.14922614374616,11.792212922794713
13,12,-76.83557869410043,9.0,125.81920903954804,299.50282485875704,False,21.723721624733503,10.756041017590752
14,2,-58.798107436226005,2.0,329.05882352941177,85.39009287925697,False,34.275480698916574,12.109474834219789
14,17,-15.463084353156052,14.0,241.66666666666663,103.40090090090092,False,26.353715389841096,10.839406036141687
14,18,-14.067916557442048,15.0,236.030701754386,126.89473684210526,False,28.523523966652043,10.498391002516
14,5,-31.31622271638424,5.0,116.58518518518518,173.9037037037037,False,32.08340562669129,10.801485684635631
14,6,61.30124280054761,6.0,232.60743801652893,195.21487603305783,False,30.585364837549985,10.180622840158026
14,7,81.11910583397224,7.0,282.1236749116608,225.2791519434629,False,33.354001053402804,10.94402682952066
14,15,64.15510669553905,12.0,264.25116279069766,254.27906976744185,False,24.575975704571743,11.173825993849407
14,16,53.471799367939774,13.0,285.66938775510204,265.0489795918367,False,27.850764281832816,11.26819255264198
14,19,-69.07088026210131,9.0,150.41011235955057,284.5224719101124,False,23.40589945915112,10.552362617458906
14,20,39.31629583734241,9.0,137.47560975609755,288.280487804878,False,10.613038577645948,9.933805178285438
14,11,-80.76786673946746,9.0,120.0798319327731,290.8697478991597,False,28.45255115949318,10.891130689063294
14,8,67.03355148477755,8.0,148.23333333333332,298.83809523809526,False,22.844231228640247,12.191062570666109
14,12,-75.26783011289503,9.0,126.9368932038835,299.0970873786408,False,25.167275150515668,10.66095036062207
15,17,-15.676735891178204,14.0,241.84513274336285,103.45575221238938,False,26.877941252519506,10.825738058627262
15,18,-14.512538763997917,15.0,235.82608695652172,127.3608695652174,False,28.99120218357884,10.40418100285974
15,5,-30.25927374905784,5.0,116.92335766423358,173.66788321167883,False,32.266879025747926,10.856593416309003
15,6,61.26471430122128,6.0,232.74493927125505,195.3846153846154,False,30.77159093548425,10.31885457420321
15,7,81.08240808710772,7.0,282.2387543252595,225.3044982698962,False,34.09496521708738,10.947313095520023
15,15,65.36685158455573,12.0,263.7219730941704,254.1300448430493,False,25.164151268284574,11.320951841528249
15,16,53.84155866089053,13.0,285.5903614457831,265.04417670682733,False,28.22260846912098,11.299376818938162
15,19,-79.21371178361252,9.0,151.242774566474,285.0115606936416,False,22.937337628245245,10.063806094162766
15,20,67.93212447734557,9.0,138.17525773195877,289.0618556701031,False,13.860586110624787,9.772227933229958
15,11,-79.08869387713332,9.0,119.41078838174272,291.12033195020746,False,28.861247521664342,10.82553450009846
15,8,68.49218341204225,8.0,148.46634615384616,298.6682692307692,False,22.64638066159525,12.355981915006623
15,12,-75.58175266301376,9.0,126.44339622641508,299.25,False,25.892158381624583,10.594478927888336
16,21,81.84059100860865,16.0,188.87254901960785,60.59803921568628,False,23.92525707989072,11.052093863814097
16,22,-86.0305007299173,17.0,207.44516129032257,62.20645161290322,False,19.11583358789381,10.673905225080391
16,17,-16.085357393976903,14.0,241.91341991341992,103.05627705627704,False,26.862179258422145,11.005779066816078
16,18,-15.17100873617258,15.0,235.7489539748954,127.43933054393304,False,29.8403455343871,10.499705821126202
16,5,-29.16083994648547,5.0,116.75539568345324,173.5251798561151,False,32.65953045402463,10.882591200675806
16,6,60.59125772747862,6.0,232.688,195.416,False,30.955923245527284,10.367469123032087
16,7,81.43234655081112,7.0,282.28767123287673,225.30479452054797,False,34.43929130537413,10.94951444875798
16,15,69.44775430317178,12.0,263.495652173913,254.1217391304348,False,25.520298977235072,11.56864005577725
16,16,54.08577837026244,13.0,285.548,265.036,False,28.273833799484315,11.335815907076928
16,11,-76.91866976391384,9.0,118.76422764227642,291.2113821138211,False,29.02546276044617,10.970001810675967
16,12,-74.14129791013593,9.0,126.43720930232558,299.0511627906977,False,26.36102202202325,10.585023188412984
17,21,82.49216742779656,16.0,189.14883720930231,60.51162790697674,False,24.83208990280123,11.184562057583332
17,22,-86.24491139817309,17.0,207.9798657718121,62.26845637583892,False,18.5083338700413,10.669537802968565
17,17,-16.853066447783384,14.0,242.07725321888407,102.81545064377684,False,27.253733347004463,10.984637626381131
17,18,-14.700235734020282,15.0,235.7112970711297,127.52301255230124,False,29.583401418343783,10.521902047867588
17,5,-29.720660991031448,5.0,116.95422535211269,173.5105633802817,False,33.12641583030232,10.942212954745552
17,6,61.19060579657007,6.0,232.6941176470588,195.43529411764703,False,31.263113069995143,10.454139919166757
17,7,81.84322420341617,7.0,282.14141414141415,225.3063973063973,False,34.83564327400759,11.036945707223008
17,15,74.56054984191613,12.0,262.8471615720524,254.0349344978166,False,25.700626552991025,11.40488554435723
17,16,54.75131197640958,13.0,285.2795275590551,264.95669291338584,False,28.529712403275717,11.403296634995678
17,23,-89.69632762439095,18.0,146.1392857142857,286.67857142857144,False,33.269507815475535,10.987230655224923
17,11,-78.1660249199128,9.0,119.13492063492065,291.3015873015873,False,29.278255683688613,11.13078394931826
17,24,65.28854568584251,19.0,148.6064814814815,298.4537037037037,False,22.653294045026957,12.564705397326986
17,12,-73.89028704577488,9.0,126.62946428571428,299.0580357142857,False,27.96581065185572,10.553534125767394
18,25,67.56483521035707,20.0,126.007326007326,52.69597069597069,False,30.352184055554385,11.566874935597452
18,21,83.97308304895981,16.0,188.48058252427185,60.36893203883495,False,24.163276994887013,10.95847439182024
18,26,65.45088927780994,21.0,148.89655172413794,62.2807881773399,False,24.81801792716063,10.665204635577377
18,22,-85.72653720374309,17.0,207.5625,62.38125,False,19.689000604497902,10.67965964795139
18,17,-16.935657848573584,14.0,241.9612068965517,102.78448275862068,False,27.395698521475847,10.895341258588264
18,18,-15.26114766672413,15.0,235.48979591836732,127.97551020408164,False,30.522625519947,10.485310813909647
18,5,-28.74848294654961,5.0,116.94055944055944,173.25874125874125,False,33.83003192280857,10.81677656225948
18,6,61.740696257145856,6.0,232.78346456692915,195.56299212598427,False,31.609156824147668,10.32466446628761
18,7,81.52664800527613,7.0,282.0838926174497,225.33557046979865,False,35.46782345364419,10.892321203976577
18,15,-74.87433526094883,12.0,262.2818181818182,254.78636363636363,False,25.395897294166797,11.143369401391446
18,16,59.45722771274651,13.0,283.179104477612,264.6529850746269,False,30.492935764538974,11.28639424914611
18,23,85.95566714782221,18.0,146.30555555555554,286.47222222222223,False,33.42132979792533,11.277198604505845
18,11,-78.96329972025707,9.0,119.7093023255814,291.21317829457365,False,29.98742495054243,11.059070930294922
18,24,64.49835692798594,19.0,148.83710407239818,298.4524886877828,False,23.66712661677248,12.30105448487313
18,12,-73.51542608895424,9.0,126.59825327510916,299.1659388646288,False,28.60658777328013,10.607033204375796
19,25,68.2850905620278,20.0,126.04832713754648,52.92936802973978,False,29.83721611530516,11.564700748278804
19,26,67.42682062659334,21.0,149.50251256281408,62.47738693467337,False,25.434357705827605,10.16644098280229
19,17,-17.828449137863654,14.0,242.41517857142856,102.53125,False,27.039725062598404,10.66407655369978
19,18,-15.926384039004216,15.0,235.6638655462185,128.0420168067227,False,30.686119520746686,10.061407584544602
19,5,-29.62744293879337,5.0,117.13309352517986,173.33093525179856,False,34.266420711266285,10.407855772981517
19,6,61.47186928853784,6.0,232.91020408163263,195.59183673469389,False,31.495930447864986,9.993649022425924
19,7,81.07086489504235,7.0,282.1322033898305,225.3084745762712,False,35.61020946154959,10.688612001428876
19,15,-71.45382606640723,12.0,262.10280373831773,254.94859813084116,False,25.52822360505549,10.778366933500902
19,16,60.050728688765496,13.0,282.9475655430712,264.5805243445693,False,30.55807235378157,11.206117819946332
19,23,78.5502058135478,18.0,145.5114503816794,284.78625954198475,False,32.67561544967049,10.629001722824052
19,11,-85.64333373763282,9.0,123.07924528301886,291.2830188679245,False,30.28302313116797,11.27703562400404
19,24,53.93029579861017,19.0,147.5940170940171,296.948717948718,False,24.100582300888583,13.47377194100377
19,12,-83.22211647557252,9.0,126.785,300.59,False,25.616517856165935,10.006238700167586
20,25,67.75097001395257,20.0,126.31407942238268,53.08664259927798,False,30.126612770079884,11.794997703300632
20,27,84.81054565903534,23.0,187.44210526315788,60.47894736842105,False,23.48193758873752,10.41613083605768
20,26,68.60322122766895,21.0,150.51442307692307,62.64903846153846,False,26.154730982159297,10.274790481573136
20,28,-87.19394435409201,24.0,207.05882352941177,62.423529411764704,False,21.01406305004796,10.399162453493322
20,17,-17.2102241001207,14.0,242.36796536796533,102.24675324675324,False,27.67115053777384,10.748511220192894
20,18,-16.269042638928386,15.0,235.559670781893,128.19753086419752,False,30.888109271028203,10.187977290801264
20,5,-28.79782905322297,5.0,117.12982456140352,173.3298245614035,False,34.696023328466325,10.549147766126287
20,6,62.190624853844994,6.0,232.6770428015564,195.5603112840467,False,32.475100850116284,10.164347282417632
20,7,81.36126110069829,7.0,282.0298013245033,225.35099337748343,False,36.38301464676044,10.742601010714404
20,15,-67.60499812336268,12.0,261.8177777777778,255.2577777777778,False,25.855659720500277,11.179612006471002
20,16,61.03048982568849,13.0,282.7058823529412,264.625,False,30.449691307697005,11.484254376054192
20,23,77.03920915039572,18.0,145.36296296296297,284.462962962963,False,33.43570268075605,10.52747207425699
20,11,-88.56762473176917,9.0,124.32706766917292,291.3233082706767,False,30.30943167687245,11.350838977820755
20,24,48.265453815551446,19.0,148.1140350877193,297.05263157894734,False,23.27048866508301,13.376611167439602
20,12,-86.24796786899326,9.0,127.61951219512196,300.77073170731705,False,26.59699285194151,10.076714419607766
21,25,66.15596447720671,20.0,127.73144876325088,53.86219081272085,False,30.73218546080365,11.855315129268204
21,26,78.77976678474849,21.0,152.93488372093023,61.544186046511626,False,26.93307173719014,10.369851591475356
21,27,82.9456007133292,23.0,186.91145833333331,60.411458333333336,False,23.86969502774788,10.371601831929617
21,28,-88.28990820370885,24.0,207.0751445086705,62.46820809248555,False,21.343043511058315,10.392210194538595
21,17,-17.276078745563144,14.0,242.37662337662337,102.14285714285714,False,27.693044322913728,10.73032783620689
21,18,-15.241035896150828,15.0,235.5668016194332,128.61133603238866,False,31.41443341249745,10.18876887054297
21,5,-28.32381453940391,5.0,117.11846689895472,173.45644599303137,False,34.99135596987398,10.539701006407148
21,6,62.485831550273424,6.0,232.75390625,195.5859375,False,32.65251172801893,10.082847794569805
21,7,81.10245262927754,7.0,281.70512820512823,225.42307692307693,False,37.36705829900136,10.801788184267634
21,15,-64.25472116012644,12.0,261.4347826086956,255.48695652173916,False,26.558384767031544,11.167057027233396
21,16,60.481728924025376,13.0,282.5527272727273,264.45454545454544,False,31.055944312614283,11.368371618882968
