TimeStep,NumberOfCells
1,13
2,14
3,13
4,14
5,16
6,16
7,18
8,17
9,17
10,16
11,19
12,18
13,19
14,20
15,21
16,21
17,20
18,20
19,20
20,19
21,20
22,19
23,22
24,23
25,21
26,23
27,23
28,22
29,25
30,22
31,23
32,24
33,28
34,29
35,23
36,25
37,26
38,28
39,28
40,35
41,33
42,34
43,34
44,35
45,38
46,34
47,36
48,39
49,37
50,37
51,42
52,36
53,37
54,36
55,38
56,37
57,38
58,37
59,37
60,37
