TimeStep,CellId,Center_X,Center_Y,Orientation,MajorAxisLength,lable,parent
1,1,31.5331020355225,157.224044799805,-84.4780731201172,68.8840637207031,1,0
1,2,197.22444152832,69.0849533081055,53.5093994140625,31.4717693328857,2,0
1,3,65.1236419677734,310.255523681641,-77.1994476318359,54.7533569335938,3,0
1,4,141.226669311523,-13.6083946228027,62.2104339599609,43.7814674377441,4,0
1,5,160.096588134766,290.808227539063,86.6265716552734,42.1263122558594,5,0
1,6,199.845657348633,46.870662689209,86.2076873779297,37.9028663635254,6,0
1,7,301.430328369141,38.4134712219238,57.4092102050781,29.2432823181152,7,0
1,8,258.159515380859,62.5446395874023,78.4960174560547,50.980037689209,8,0
1,9,371.240783691406,77.003044128418,58.5016021728516,49.8141708374023,9,0
1,10,317.167449951172,172.080108642578,79.960693359375,30.4409561157227,10,0
1,11,245.011795043945,237.215026855469,-60.3295440673828,33.6024703979492,11,0
2,1,30.9561347961426,157.333908081055,-84.3167572021484,69.1927032470703,1,0
2,2,196.456359863281,71.6757354736328,54.138916015625,31.2327079772949,2,0
2,3,71.263801574707,308.943695068359,-78.1156616210938,59.1337432861328,3,0
2,4,141.493453979492,-11.4976186752319,62.9556121826172,45.1075668334961,4,0
2,5,157.913589477539,292.130096435547,87.0317687988281,42.55419921875,5,0
2,6,199.637542724609,47.1837539672852,86.2440032958984,38.5535583496094,6,0
2,7,301.269134521484,39.489574432373,57.5930023193359,29.378870010376,7,0
2,8,258.092834472656,62.5835494995117,78.4928131103516,51.2766532897949,8,0
2,9,371.274353027344,76.3966522216797,58.3860778808594,50.0502891540527,9,0
2,10,316.493438720703,173.372665405273,80.1800689697266,30.7809734344482,10,0
2,11,243.124481201172,238.807205200195,-59.9527587890625,34.1774215698242,11,0
3,1,30.9774417877197,157.504135131836,-84.3084106445313,69.1720504760742,1,0
3,2,196.061386108398,73.4376449584961,54.5957641601563,31.2445907592773,2,0
3,3,70.003303527832,309.278930664063,-77.8456878662109,61.0689163208008,3,0
3,4,141.79866027832,-11.2064218521118,63.0377197265625,44.2591590881348,4,0
3,5,157.049072265625,292.634918212891,87.1739654541016,43.40869140625,5,0
3,6,200.105285644531,46.2115440368652,85.9161529541016,39.131420135498,6,0
3,7,301.053741455078,41.758716583252,58.0218353271484,29.5635414123535,7,0
3,8,258.507843017578,60.6894645690918,78.07958984375,53.1476821899414,8,0
3,9,370.961120605469,77.5742034912109,58.5589294433594,51.0983505249023,9,0
3,10,317.360412597656,172.011993408203,79.9157562255859,30.8727245330811,10,0
3,11,244.559310913086,237.368759155273,-60.3216857910156,34.3417015075684,11,0
4,1,30.1341781616211,157.890289306641,-83.9508514404297,70.2357177734375,1,0
4,2,194.439910888672,78.3599166870117,55.9895324707031,32.1695671081543,2,0
4,3,72.0307464599609,309.252563476563,-78.0518646240234,61.8445091247559,3,0
4,4,142.16194152832,-11.2426595687866,62.9567260742188,47.045238494873,4,0
4,5,154.542663574219,294.066680908203,87.6073455810547,43.7812843322754,5,0
4,6,200.642120361328,45.8612899780273,85.7271728515625,39.4210319519043,6,0
4,7,301.181884765625,44.0423545837402,58.4041442871094,30.180757522583,7,0
4,8,258.389739990234,62.5933570861816,78.3346557617188,52.8397331237793,8,0
4,9,371.217071533203,78.7582702636719,58.7131042480469,52.4596099853516,9,0
4,10,317.671447753906,171.772232055664,79.8368377685547,31.1523113250732,10,0
4,11,244.065811157227,238.019638061523,-60.2382965087891,34.8685264587402,11,0
5,1,29.6688499450684,158.086029052734,-83.7967834472656,71.042854309082,1,0
5,2,194.470275878906,78.3236846923828,55.9400024414063,32.1040229797363,2,0
5,3,69.3339004516602,309.8623046875,-77.5276641845703,61.7238540649414,3,0
5,4,142.389755249023,-9.39401721954346,63.6612396240234,46.8781127929688,4,0
5,5,153.322463989258,294.743377685547,87.8220977783203,44.013355255127,5,0
5,6,200.663177490234,46.008487701416,85.7433013916016,40.6693267822266,6,0
5,7,301.047607421875,45.0411911010742,58.5794830322266,30.5451259613037,7,0
5,8,258.452667236328,62.5965843200684,78.3115234375,53.7424354553223,8,0
5,9,370.774871826172,79.9127731323242,58.8767547607422,53.8285293579102,9,0
5,10,316.671417236328,173.867645263672,80.1872863769531,31.4727344512939,10,0
5,11,242.111343383789,239.858917236328,-59.7895660400391,34.9101524353027,11,0
6,1,28.2910118103027,158.377838134766,-83.2571868896484,70.2736663818359,1,0
6,2,194.455307006836,79.4743270874023,56.1864624023438,32.5317230224609,2,0
6,3,70.3750534057617,309.984710693359,-77.5974273681641,64.2540054321289,3,0
6,4,142.983947753906,-8.451171875,64.0012817382813,47.7038764953613,4,0
