Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,1,1,1,3
2,1,1,1,1,1,3
3,1,1,1,1,1,3
4,1,1,1,1,1,3
5,1,1,1,1,1,3
6,1,1,1,1,1,3
7,1,1,1,1,1,3
8,1,1,1,1,1,4
9,1,2,1,1,1,5
10,2,2,2,2,2,5
11,2,2,2,2,2,6
12,2,2,2,2,2,6
13,2,2,3,2,2,6
14,3,3,4,4,3,8
15,4,4,4,4,4,8
16,4,4,4,4,4,8
17,4,4,4,4,4,7
18,4,4,4,4,4,8
19,4,4,4,4,4,7
20,6,6,5,6,5,9
21,6,4,6,7,4,9
22,8,6,6,6,6,10
23,8,5,6,6,4,11
24,8,5,9,7,3,11
25,9,5,9,8,3,12
26,9,5,9,9,4,13
27,9,6,10,9,5,13
28,11,8,11,12,5,13
29,11,8,12,11,3,13
30,16,9,15,14,5,17
31,16,10,15,15,4,17
