time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.8821,0.7902,0.9064,0.7377,0.5943
2.0,0.8709,0.7863,0.9116,0.7797,0.5906
3.0,0.873,0.7957,0.8723,0.7372,0.5921
4.0,0.8789,0.772,0.8464,0.737,0.5929
5.0,0.8734,0.77,0.8571,0.756,0.5995
6.0,0.877,0.7856,0.8914,0.7571,0.5827
7.0,0.8979,0.8184,0.7979,0.7576,0.5759
8.0,0.8862,0.7963,0.76,0.7833,0.5474
9.0,0.7853,0.7942,0.7452,0.7654,0.5331
10.0,0.8845,0.8293,0.8429,0.8506,0.5524
11.0,0.8702,0.8107,0.8448,0.8441,0.5947
12.0,0.8834,0.788,0.7743,0.7703,0.5815
13.0,0.8906,0.771,0.8023,0.7709,0.5804
14.0,0.8747,0.7071,0.7197,0.6793,0.5344
15.0,0.8443,0.7599,0.807,0.8098,0.4872
16.0,0.8532,0.7479,0.8051,0.8091,0.4841
17.0,0.845,0.7477,0.7821,0.7878,0.4772
18.0,0.8501,0.7144,0.7356,0.7637,0.4482
19.0,0.8396,0.7207,0.7047,0.7607,0.4616
20.0,0.8516,0.726,0.7433,0.6082,0.4687
21.0,0.6881,0.7201,0.7162,0.6577,0.458
22.0,0.7824,0.5923,0.684,0.5769,0.3613
23.0,0.6354,0.5819,0.7221,0.5858,0.2315
24.0,0.7092,0.6045,0.7469,0.7423,0.2459
25.0,0.6094,0.6606,0.7379,0.7302,0.2261
26.0,0.7703,0.707,0.7105,0.7355,0.2474
27.0,0.8173,0.7058,0.6803,0.708,0.261
28.0,0.879,0.7167,0.7282,0.7202,0.2773
29.0,0.8652,0.7254,0.6625,0.6743,0.2897
30.0,0.7299,0.6928,0.666,0.6544,0.2122
31.0,0.823,0.7171,0.6739,0.6573,0.1918
